"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia URUBAMBA (000)",19685,13955,2525,1555,1650
"Sin nivel (001)",1265,1118,127,15,5
"Educación inicial (002)",9,7,1,1,
"Primaria (003)",5695,4706,688,167,134
"Secundaria (004)",7994,5829,951,544,670
"Superior no univ. incompleta (005)",1067,639,144,134,150
"Superior no univ. completa (006)",1716,772,320,334,290
"Superior univ. incompleta (007)",557,316,67,61,113
"Superior univ. completa (008)",1382,568,227,299,288
"De 06 a 14 años (010)",291,248,35,7,1
"Sin nivel (011)",3,3,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",200,169,25,5,1
"Secundaria (014)",87,75,10,2,
"De 15 a 29 años (020)",6239,4259,859,546,575
"Sin nivel (021)",130,109,16,3,2
"Educación inicial (022)",3,3,,,
"Primaria (023)",993,818,131,32,12
"Secundaria (024)",3352,2412,437,252,251
"Superior no univ. incompleta (025)",521,311,78,63,69
"Superior no univ. completa (026)",670,324,105,112,129
"Superior univ. incompleta (027)",215,133,27,25,30
"Superior univ. completa (028)",355,149,65,59,82
"De 30 a 44 años (030)",7076,4811,937,638,690
"Sin nivel (031)",258,220,32,5,1
"Educación inicial (032)",5,3,1,1,
"Primaria (033)",1860,1497,248,68,47
"Secundaria (034)",2945,2142,331,191,281
"Superior no univ. incompleta (035)",396,242,45,46,63
"Superior no univ. completa (036)",760,327,157,152,124
"Superior univ. incompleta (037)",206,110,22,24,50
"Superior univ. completa (038)",646,270,101,151,124
"De 45 a 64 años (040)",4767,3479,585,342,361
"Sin nivel (041)",501,442,51,6,2
"Primaria (043)",1918,1569,227,56,66
"Secundaria (044)",1468,1087,159,92,130
"Superior no univ. incompleta (045)",130,72,19,23,16
"Superior no univ. completa (046)",269,109,57,67,36
"Superior univ. incompleta (047)",132,72,17,12,31
"Superior univ. completa (048)",349,128,55,86,80
"De 65 y más años (050)",1312,1158,109,22,23
"Sin nivel (051)",373,344,28,1,
"Primaria (053)",724,653,57,6,8
"Secundaria (054)",142,113,14,7,8
"Superior no univ. incompleta (055)",20,14,2,2,2
"Superior no univ. completa (056)",17,12,1,3,1
"Superior univ. incompleta (057)",4,1,1,,2
"Superior univ. completa (058)",32,21,6,3,2
,,,,,
