"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia EL DORADO (000)",33628,13077,20551
"Casa independiente (001)",28007,12732,15275
"Departamento en edificio (002)",9,9,
"Vivienda en quinta (003)",217,217,
"Vivienda en casa de vecindad (004)",48,48,
"Choza o cabaña (005)",5244,,5244
"Vivienda improvisada (006)",40,40,
"Local no dest.para hab. humana (007)",38,29,9
"Otro tipo (008)",25,2,23
