"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CANGALLO (000)",9334,25,606,136,140,516,4155,203,244,2813,30,466
"Agric., ganadería, caza y silvicultura (001)",6463,,2,5,1,,4155,,19,2281,,
"Pesca (002)",3,,,,,,,,,3,,
"Explotación de minas y canteras (003)",160,,9,10,3,6,,36,11,85,,
"Industrias manufactureras (004)",161,,,5,,1,,147,5,3,,
"Suministro de electricidad, gas y agua (005)",11,,2,3,1,,,,2,3,,
"Construcción (006)",273,,7,2,1,,,3,124,136,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",537,,2,12,,411,,13,4,95,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",14,,,,,1,,9,4,,,
"Comercio al por mayor (009)",11,,,1,,10,,,,,,
"Comercio al por menor (010)",512,,2,11,,400,,4,,95,,
"Hoteles y restaurantes (011)",135,,,3,1,73,,,,58,,
"Trans., almac. y comunicaciones (012)",79,,,1,4,,,,64,10,,
"Intermediación financiera (013)",6,,1,,3,,,,,2,,
"Activid.inmobil., empres. y alquileres (014)",75,,15,19,7,13,,,9,12,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",201,20,7,14,85,3,,1,4,37,30,
"Enseñanza (016)",526,4,494,3,5,,,,,20,,
"Servicios sociales y de salud (017)",111,,58,41,3,2,,1,2,4,,
"Otras activ. serv.comun.soc y personales (018)",53,1,4,15,5,7,,2,,19,,
"Hogares privados con servicio doméstico (019)",45,,,,,,,,,45,,
"Actividad economica no especificada (021)",495,,5,3,21,,,,,,,466
"Hombres (022)",6026,18,359,78,103,178,3262,181,237,1382,29,199
"Agric., ganadería, caza y silvicultura (023)",4319,,2,4,1,,3262,,19,1031,,
"Pesca (024)",3,,,,,,,,,3,,
"Explotación de minas y canteras (025)",155,,7,10,3,3,,36,11,85,,
"Industrias manufactureras (026)",135,,,4,,1,,125,2,3,,
"Suministro de electricidad, gas y agua (027)",10,,2,3,,,,,2,3,,
"Construcción (028)",269,,7,2,1,,,3,123,133,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",193,,1,5,,133,,13,2,39,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",12,,,,,1,,9,2,,,
"Comercio al por mayor (031)",6,,,,,6,,,,,,
"Comercio al por menor (032)",175,,1,5,,126,,4,,39,,
"Hoteles y restaurantes (033)",30,,,1,1,21,,,,7,,
"Trans., almac. y comunicaciones (034)",73,,,,3,,,,63,7,,
"Intermediación financiera (035)",4,,1,,2,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",55,,11,13,2,13,,,9,7,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",166,13,7,10,68,3,,1,4,31,29,
"Enseñanza (038)",326,4,297,2,4,,,,,19,,
"Servicios sociales y de salud (039)",41,,18,17,1,1,,1,2,1,,
"Otras activ. serv.comun.soc y personales (040)",24,1,3,5,3,3,,2,,7,,
"Hogares privados con servicio doméstico (041)",5,,,,,,,,,5,,
"Actividad economica no especificada (043)",218,,3,2,14,,,,,,,199
"Mujeres (044)",3308,7,247,58,37,338,893,22,7,1431,1,267
"Agric., ganadería, caza y silvicultura (045)",2144,,,1,,,893,,,1250,,
"Explotación de minas y canteras (047)",5,,2,,,3,,,,,,
"Industrias manufactureras (048)",26,,,1,,,,22,3,,,
"Suministro de electricidad, gas y agua (049)",1,,,,1,,,,,,,
"Construcción (050)",4,,,,,,,,1,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",344,,1,7,,278,,,2,56,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",2,,,,,,,,2,,,
"Comercio al por mayor (053)",5,,,1,,4,,,,,,
"Comercio al por menor (054)",337,,1,6,,274,,,,56,,
"Hoteles y restaurantes (055)",105,,,2,,52,,,,51,,
"Trans., almac. y comunicaciones (056)",6,,,1,1,,,,1,3,,
