"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHINCHEROS (000)",11857,9671,824,616,746
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,,2,4,33
"Profes., científicos e intelectuales (002)",1167,293,269,317,288
"Técnicos de nivel medio y trab. asimilados (003)",179,66,17,16,80
"Jefes y empleados de oficina (004)",201,19,12,27,143
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",773,733,24,6,10
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4032,3911,121,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",374,339,28,5,2
"Obreros construc.,conf.,papel, fab., instr. (008)",448,310,73,44,21
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4246,3705,264,181,96
"Otra (010)",68,,,,68
"Ocupación no especificada (011)",330,295,14,16,5
"Hombres (012)",9377,7761,655,457,504
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",34,,1,3,30
"Profes., científicos e intelectuales (014)",620,115,159,194,152
"Técnicos de nivel medio y trab. asimilados (015)",118,45,13,12,48
"Jefes y empleados de oficina (016)",134,5,10,18,101
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",246,223,13,4,6
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3819,3706,113,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",304,276,22,4,2
"Obreros construc.,conf.,papel, fab., instr. (020)",441,303,73,44,21
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3469,2985,244,166,74
"Otra (022)",67,,,,67
"Ocupación no especificada (023)",125,103,7,12,3
"Mujeres (024)",2480,1910,169,159,242
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,1,1,3
"Profes., científicos e intelectuales (026)",547,178,110,123,136
"Técnicos de nivel medio y trab. asimilados (027)",61,21,4,4,32
"Jefes y empleados de oficina (028)",67,14,2,9,42
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",527,510,11,2,4
"Agricult.trabaj.calif.agrop.y pesqueros (030)",213,205,8,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",70,63,6,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",7,7,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",777,720,20,15,22
"Otra (034)",1,,,,1
