"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia URUBAMBA (000)",53606,2431,5951,6887,5725,9499,7719,11456,3938
"Sin nivel (001)",7205,2431,487,45,69,298,446,1764,1665
"Educación inicial (002)",1391,,1349,10,7,14,11,,
"Primaria (003)",19555,,4115,4715,711,1664,2198,4541,1611
"Secundaria (004)",17069,,,2117,4311,4111,3073,3106,351
"Superior no univ. incompleto (005)",2259,,,,427,1083,395,314,40
"Superior no univ. completo (006)",2305,,,,,911,718,608,68
"Superior univ. incompleto (007)",1472,,,,200,676,213,325,58
"Superior univ. completo (008)",2350,,,,,742,665,798,145
"Hombres (010)",27246,1203,2982,3509,3016,4877,3907,5892,1860
"Sin nivel (011)",2464,1203,271,17,20,83,104,384,382
"Educación inicial (012)",692,,676,5,2,4,5,,
"Primaria (013)",9819,,2035,2442,335,825,941,2197,1044
"Secundaria (014)",9657,,,1045,2349,2182,1773,2062,246
"Superior no univ. incompleto (015)",1280,,,,201,611,236,205,27
"Superior no univ. completo (016)",1195,,,,,442,369,350,34
"Superior univ. incompleto (017)",916,,,,109,430,129,214,34
"Superior univ. completo (018)",1223,,,,,300,350,480,93
"Mujeres (020)",26360,1228,2969,3378,2709,4622,3812,5564,2078
"Sin nivel (021)",4741,1228,216,28,49,215,342,1380,1283
"Educación inicial (022)",699,,673,5,5,10,6,,
"Primaria (023)",9736,,2080,2273,376,839,1257,2344,567
"Secundaria (024)",7412,,,1072,1962,1929,1300,1044,105
"Superior no univ. incompleto (025)",979,,,,226,472,159,109,13
"Superior no univ. completo (026)",1110,,,,,469,349,258,34
"Superior univ. incompleto (027)",556,,,,91,246,84,111,24
"Superior univ. completo (028)",1127,,,,,442,315,318,52
,,,,,,,,,
"URBANA (030)",26393,1060,2552,2968,2861,5454,4033,5624,1841
"Sin nivel (031)",2196,1060,143,13,23,49,67,357,484
"Educación inicial (032)",655,,631,8,4,6,6,,
"Primaria (033)",7581,,1778,1858,222,574,650,1647,852
"Secundaria (034)",9174,,,1089,2180,2140,1653,1871,241
"Superior no univ. incompleto (035)",1564,,,,266,734,289,244,31
