"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CAJAMARCA (000)",145111,121323,23788
"De 3 a 5 años (001)",19595,1815,17780
"De 6 a 11 años (002)",37671,34153,3518
"De 12 a 16 años (003)",34216,33621,595
"De 17 a 24 años (004)",53629,51734,1895
"Hombres (005)",72456,61247,11209
"De 3 a 5 años (006)",9843,913,8930
"De 6 a 11 años (007)",18923,17232,1691
"De 12 a 16 años (008)",17346,17154,192
"De 17 a 24 años (009)",26344,25948,396
"Mujeres (010)",72655,60076,12579
"De 3 a 5 años (011)",9752,902,8850
"De 6 a 11 años (012)",18748,16921,1827
"De 12 a 16 años (013)",16870,16467,403
"De 17 a 24 años (014)",27285,25786,1499
,,,
"URBANA (015)",76632,66084,10548
"De 3 a 5 años (016)",10128,1250,8878
"De 6 a 11 años (017)",18744,17637,1107
"De 12 a 16 años (018)",16584,16426,158
"De 17 a 24 años (019)",31176,30771,405
"Hombres (020)",37886,32685,5201
"De 3 a 5 años (021)",5124,615,4509
"De 6 a 11 años (022)",9366,8832,534
"De 12 a 16 años (023)",8303,8239,64
"De 17 a 24 años (024)",15093,14999,94
"Mujeres (025)",38746,33399,5347
"De 3 a 5 años (026)",5004,635,4369
"De 6 a 11 años (027)",9378,8805,573
"De 12 a 16 años (028)",8281,8187,94
"De 17 a 24 años (029)",16083,15772,311
,,,
"RURAL (030)",68479,55239,13240
"De 3 a 5 años (031)",9467,565,8902
"De 6 a 11 años (032)",18927,16516,2411
"De 12 a 16 años (033)",17632,17195,437
"De 17 a 24 años (034)",22453,20963,1490
"Hombres (035)",34570,28562,6008
"De 3 a 5 años (036)",4719,298,4421
"De 6 a 11 años (037)",9557,8400,1157
"De 12 a 16 años (038)",9043,8915,128
"De 17 a 24 años (039)",11251,10949,302
"Mujeres (040)",33909,26677,7232
"De 3 a 5 años (041)",4748,267,4481
"De 6 a 11 años (042)",9370,8116,1254
"De 12 a 16 años (043)",8589,8280,309
"De 17 a 24 años (044)",11202,10014,1188
