"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ALTO AMAZONAS (000)",33856,102652,91969,,2660,89.6,2.6
"De 12 a 14 años (001)",4153,46,45,,10,97.8,21.7
"De 15 a 19 años (002)",5472,1872,1820,460,97.2,24.6,
"De 20 a 24 años (003)",4081,5845,5654,695,96.7,11.9,
"De 25 a 29 años (004)",3763,9314,8988,582,96.5,6.2,
"De 30 a 34 años (005)",3115,10750,10193,436,94.8,4.1,
"De 35 a 39 años (006)",3126,13557,12699,325,93.7,2.4,
"De 40 a 44 años (007)",2542,12734,11699,123,91.9,1,
"De 45 a 49 años (008)",2047,11518,10231,29,88.8,0.3,
"De 50 y más años (009)",5557,37016,30640,,82.8,,
"Conviviente (010)",14167,51306,46966,1959,91.5,3.8,
"De 12 a 14 años (011)",95,19,18,3,94.7,15.8,
"De 15 a 19 años (012)",1617,1408,1370,341,97.3,24.2,
"De 20 a 24 años (013)",2587,4705,4537,551,96.4,11.7,
"De 25 a 29 años (014)",2498,6909,6655,450,96.3,6.5,
"De 30 a 34 años (015)",1952,7410,7022,310,94.8,4.2,
"De 35 a 39 años (016)",1776,8331,7816,216,93.8,2.6,
"De 40 a 44 años (017)",1262,6864,6278,70,91.5,1,
"De 45 a 49 años (018)",883,5472,4856,18,88.7,0.3,
"De 50 y más años (019)",1497,10188,8414,,82.6,,
"Separado(a) (020)",912,3228,2964,56,91.8,1.7,
"De 12 a 14 años (021)",3,,,,,,
"De 15 a 19 años (022)",63,59,56,11,94.9,18.6,
"De 20 a 24 años (023)",107,164,162,17,98.8,10.4,
"De 25 a 29 años (024)",115,259,257,10,99.2,3.9,
"De 30 a 34 años (025)",104,283,268,8,94.7,2.8,
"De 35 a 39 años (026)",123,425,405,7,95.3,1.6,
"De 40 a 44 años (027)",94,387,371,3,95.9,0.8,
"De 45 a 49 años (028)",84,406,369,,90.9,,
"De 50 y más años (029)",219,1245,1076,,86.4,,
"Casado(a) (030)",6830,35435,31315,426,88.4,1.2,
"De 12 a 14 años (031)",5,2,2,,100,,
"De 15 a 19 años (032)",63,73,67,19,91.8,26,
"De 20 a 24 años (033)",252,454,448,56,98.7,12.3,
"De 25 a 29 años (034)",592,1628,1572,93,96.6,5.7,
"De 30 a 34 años (035)",743,2600,2471,110,95,4.2,
