"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia NAZCA (000)",23355,14654,2924,2570,3207
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",82,6,14,22,40
"Profes., científicos e intelectuales (002)",1761,430,265,530,536
"Técnicos de nivel medio y trab. asimilados (003)",1392,582,201,229,380
"Jefes y empleados de oficina (004)",1083,287,154,219,423
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3687,3121,277,188,101
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1690,1411,264,10,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3311,1688,472,383,768
"Obreros construc.,conf.,papel, fab., instr. (008)",3134,2229,276,264,365
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6341,4405,909,650,377
"Otra (010)",167,,,,167
"Ocupación no especificada (011)",707,495,92,75,45
"Hombres (012)",15689,9336,2086,1769,2498
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",53,3,8,17,25
"Profes., científicos e intelectuales (014)",867,232,128,216,291
"Técnicos de nivel medio y trab. asimilados (015)",971,375,134,168,294
"Jefes y empleados de oficina (016)",456,92,66,107,191
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1461,1116,137,118,90
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1399,1182,204,8,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3096,1511,448,375,762
"Obreros construc.,conf.,papel, fab., instr. (020)",3060,2173,271,258,358
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3678,2330,622,443,283
"Otra (022)",162,,,,162
"Ocupación no especificada (023)",486,322,68,59,37
"Mujeres (024)",7666,5318,838,801,709
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",29,3,6,5,15
"Profes., científicos e intelectuales (026)",894,198,137,314,245
"Técnicos de nivel medio y trab. asimilados (027)",421,207,67,61,86
"Jefes y empleados de oficina (028)",627,195,88,112,232
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2226,2005,140,70,11
"Agricult.trabaj.calif.agrop.y pesqueros (030)",291,229,60,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",215,177,24,8,6
"Obreros construc.,conf.,papel, fab., instr. (032)",74,56,5,6,7
