"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OTUZCO (000)",22714,21741,64,4362,4318,3483,4659,2861,1462,532,973,80450
"De 12 a 14 años (001)",39,19,1,15,3,,,,,,20,21
"De 15 a 19 años (002)",727,652,6,558,79,9,,,,,75,743
"De 20 a 24 años (003)",2485,2150,6,1220,694,186,40,4,,,335,3360
"De 25 a 29 años (004)",2688,2477,8,809,833,520,271,32,4,,211,5431
"De 30 a 34 años (005)",2773,2670,3,526,767,630,591,136,16,1,103,7503
"De 35 a 39 años (006)",2604,2543,5,303,585,557,725,287,73,8,61,8860
"De 40 a 44 años (007)",2168,2125,5,212,376,434,592,343,129,34,43,8502
"De 45 a 49 años (008)",1897,1862,3,137,270,301,525,370,188,68,35,8638
"De 50 y más años (009)",7333,7243,27,582,711,846,1915,1689,1052,421,90,37392
"Sin nivel (010)",6882,6732,21,632,810,895,1729,1431,873,341,150,32888
"De 12 a 14 años (011)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (012)",46,42,,28,13,1,,,,,4,57
"De 20 a 24 años (013)",237,206,,94,69,30,13,,,,31,377
"De 25 a 29 años (014)",307,289,1,53,102,69,57,5,2,,18,759
"De 30 a 34 años (015)",537,521,,67,94,136,169,46,9,,16,1752
"De 35 a 39 años (016)",598,587,1,50,86,113,182,114,36,5,11,2466
"De 40 a 44 años (017)",602,593,2,38,73,91,179,127,64,19,9,2803
"De 45 a 49 años (018)",648,639,1,43,58,75,162,160,96,44,9,3436
"De 50 y más años (019)",3905,3853,16,258,314,380,967,979,666,273,52,21235
"Educacion Inicial (020)",53,49,,13,12,10,9,5,,,4,141
"De 15 a 19 años (022)",1,,,,,,,,,,1,
