"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN IGNACIO (000)",43839,40486,1800,944,609
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,,8,5,20
"Profes., científicos e intelectuales (002)",1918,790,425,574,129
"Técnicos de nivel medio y trab. asimilados (003)",388,205,40,42,101
"Jefes y empleados de oficina (004)",325,118,36,59,112
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1867,1785,57,12,13
"Agricult.trabaj.calif.agrop.y pesqueros (006)",19260,18894,362,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",764,686,24,40,14
"Obreros construc.,conf.,papel, fab., instr. (008)",1134,946,120,53,15
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",16755,15891,662,131,71
"Otra (010)",127,,,,127
"Ocupación no especificada (011)",1268,1171,66,24,7
"Hombres (012)",35163,32798,1310,614,441
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,,5,4,16
"Profes., científicos e intelectuales (014)",942,312,235,321,74
"Técnicos de nivel medio y trab. asimilados (015)",251,140,23,29,59
"Jefes y empleados de oficina (016)",143,39,12,28,64
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",947,900,32,7,8
"Agricult.trabaj.calif.agrop.y pesqueros (018)",17968,17633,331,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",608,537,18,39,14
"Obreros construc.,conf.,papel, fab., instr. (020)",1121,935,119,53,14
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",12752,12062,518,112,60
"Otra (022)",126,,,,126
"Ocupación no especificada (023)",280,240,17,17,6
"Mujeres (024)",8676,7688,490,330,168
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,,3,1,4
"Profes., científicos e intelectuales (026)",976,478,190,253,55
"Técnicos de nivel medio y trab. asimilados (027)",137,65,17,13,42
"Jefes y empleados de oficina (028)",182,79,24,31,48
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",920,885,25,5,5
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1292,1261,31,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",156,149,6,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",13,11,1,,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",4003,3829,144,19,11
