"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia FERREÑAFE (000)",21689,95816,11947,51338,9742,44478
"Casa independiente (001)",21129,93879,11517,49979,9612,43900
"Departamento en edificio (002)",57,190,57,190,,
"Vivienda en quinta (003)",45,152,45,152,,
"Vivienda en casa de vecindad (004)",69,241,69,241,,
"Choza o cabaña (005)",127,572,,,127,572
"Vivienda improvisada (006)",253,770,253,770,,
"Local no dest.para hab. humana (007)",9,12,6,6,3,6
