"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CARAVELI (000)",16677,2784,6076,6616,320,643,238
"Sin nivel (001)",692,34,236,347,14,47,14
"Educación inicial (002)",8,1,3,3,,1,
"Primaria (003)",3256,175,1204,1583,47,186,61
"Secundaria (004)",7645,901,3298,2954,120,248,124
"Superior no univ. incompleta (005)",1283,244,466,494,29,37,13
"Superior no univ. completa (006)",1501,445,427,518,34,68,9
"Superior univ. incompleta (007)",795,203,224,310,29,22,7
"Superior univ. completa (008)",1497,781,218,407,47,34,10
"Hombres (010)",12594,1605,5550,4855,246,317,21
"Sin nivel (011)",365,11,166,170,6,11,1
"Educación inicial (012)",6,,3,3,,,
"Primaria (013)",2390,80,1045,1125,33,101,6
"Secundaria (014)",6119,534,3087,2265,96,129,8
"Superior no univ. incompleta (015)",1005,150,440,379,18,16,2
"Superior no univ. completa (016)",1052,233,398,363,28,27,3
"Superior univ. incompleta (017)",666,154,214,260,25,12,1
"Superior univ. completa (018)",991,443,197,290,40,21,
"Mujeres (020)",4083,1179,526,1761,74,326,217
"Sin nivel (021)",327,23,70,177,8,36,13
"Educación inicial (022)",2,1,,,,1,
"Primaria (023)",866,95,159,458,14,85,55
"Secundaria (024)",1526,367,211,689,24,119,116
"Superior no univ. incompleta (025)",278,94,26,115,11,21,11
"Superior no univ. completa (026)",449,212,29,155,6,41,6
"Superior univ. incompleta (027)",129,49,10,50,4,10,6
"Superior univ. completa (028)",506,338,21,117,7,13,10
,,,,,,,
"URBANA (030)",9524,1968,2750,3944,238,444,180
"Sin nivel (031)",335,23,100,164,10,27,11
"Educación inicial (032)",5,1,2,2,,,
"Primaria (033)",1642,109,573,787,23,109,41
"Secundaria (034)",3957,549,1348,1706,92,166,96
"Superior no univ. incompleta (035)",792,176,216,334,24,31,11
"Superior no univ. completa (036)",1092,355,252,389,31,59,6
"Superior univ. incompleta (037)",516,147,105,218,21,20,5
"Superior univ. completa (038)",1185,608,154,344,37,32,10
"Hombres (040)",6641,1079,2456,2701,177,216,12
"Sin nivel (041)",125,6,61,48,3,6,1
"Educación inicial (042)",4,,2,2,,,
"Primaria (043)",1116,51,493,500,14,55,3
"Secundaria (044)",2937,314,1230,1229,72,86,6
"Superior no univ. incompleta (045)",568,100,198,241,15,13,1
"Superior no univ. completa (046)",728,178,233,267,25,24,1
"Superior univ. incompleta (047)",410,106,99,175,18,12,
"Superior univ. completa (048)",753,324,140,239,30,20,
"Mujeres (050)",2883,889,294,1243,61,228,168
"Sin nivel (051)",210,17,39,116,7,21,10
"Educación inicial (052)",1,1,,,,,
"Primaria (053)",526,58,80,287,9,54,38
"Secundaria (054)",1020,235,118,477,20,80,90
"Superior no univ. incompleta (055)",224,76,18,93,9,18,10
"Superior no univ. completa (056)",364,177,19,122,6,35,5
"Superior univ. incompleta (057)",106,41,6,43,3,8,5
"Superior univ. completa (058)",432,284,14,105,7,12,10
,,,,,,,
"RURAL (060)",7153,816,3326,2672,82,199,58
"Sin nivel (061)",357,11,136,183,4,20,3
"Educación inicial (062)",3,,1,1,,1,
"Primaria (063)",1614,66,631,796,24,77,20
"Secundaria (064)",3688,352,1950,1248,28,82,28
"Superior no univ. incompleta (065)",491,68,250,160,5,6,2
"Superior no univ. completa (066)",409,90,175,129,3,9,3
"Superior univ. incompleta (067)",279,56,119,92,8,2,2
"Superior univ. completa (068)",312,173,64,63,10,2,
"Hombres (070)",5953,526,3094,2154,69,101,9
"Sin nivel (071)",240,5,105,122,3,5,
"Educación inicial (072)",2,,1,1,,,
"Primaria (073)",1274,29,552,625,19,46,3
"Secundaria (074)",3182,220,1857,1036,24,43,2
"Superior no univ. incompleta (075)",437,50,242,138,3,3,1
"Superior no univ. completa (076)",324,55,165,96,3,3,2
"Superior univ. incompleta (077)",256,48,115,85,7,,1
"Superior univ. completa (078)",238,119,57,51,10,1,
"Mujeres (080)",1200,290,232,518,13,98,49
"Sin nivel (081)",117,6,31,61,1,15,3
"Educación inicial (082)",1,,,,,1,
"Primaria (083)",340,37,79,171,5,31,17
"Secundaria (084)",506,132,93,212,4,39,26
"Superior no univ. incompleta (085)",54,18,8,22,2,3,1
"Superior no univ. completa (086)",85,35,10,33,,6,1
"Superior univ. incompleta (087)",23,8,4,7,1,2,1
"Superior univ. completa (088)",74,54,7,12,,1,
