"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia EL COLLAO (000)",31096,2585,1247,19938,140,7075,111
"Agric., ganadería, caza y silvicultura (001)",21296,14,480,14337,57,6408,
"Pesca (002)",165,1,19,69,1,75,
"Explotación de minas y canteras (003)",18,4,11,3,,,
"Industrias manufactureras (004)",691,18,80,550,9,34,
"Suministro de electricidad, gas y agua (005)",21,8,13,,,,
"Construcción (006)",625,16,410,175,3,21,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3571,110,32,2995,38,396,
"Venta, mant.y rep. veh.autom y motoc. (008)",242,8,27,192,8,7,
"Comercio al por mayor (009)",71,8,,54,2,7,
"Comercio al por menor (010)",3258,94,5,2749,28,382,
"Hoteles y restaurantes (011)",485,69,4,362,10,40,
"Trans., almac. y comunicaciones (012)",876,121,50,675,9,21,
"Intermediación financiera (013)",10,8,,2,,,
"Activid.inmobil., empres. y alquileres (014)",197,114,8,70,4,1,
"Admin.pub. y defensa; p. segur soc.afil (015)",735,692,43,,,,
"Enseñanza (016)",1092,1036,,49,3,4,
"Servicios sociales y de salud (017)",207,188,,18,,1,
"Otras activ. serv.comun.soc y personales (018)",177,55,14,100,,8,
"Hogares privados con servicio doméstico (019)",111,,,,,,111
"Actividad economica no especificada (021)",819,131,83,533,6,66,
"Hombres (022)",18576,1916,1064,13300,107,2174,15
"Agric., ganadería, caza y silvicultura (023)",12752,10,351,10424,48,1919,
"Pesca (024)",136,1,18,54,1,62,
"Explotación de minas y canteras (025)",16,3,10,3,,,
"Industrias manufactureras (026)",371,13,70,264,8,16,
"Suministro de electricidad, gas y agua (027)",19,6,13,,,,
"Construcción (028)",614,15,406,170,3,20,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1410,55,32,1215,24,84,
"Venta, mant.y rep. veh.autom y motoc. (030)",219,6,27,177,8,1,
"Comercio al por mayor (031)",34,7,,25,1,1,
"Comercio al por menor (032)",1157,42,5,1013,15,82,
"Hoteles y restaurantes (033)",140,30,3,88,5,14,
"Trans., almac. y comunicaciones (034)",839,103,49,662,9,16,
"Intermediación financiera (035)",7,6,,1,,,
"Activid.inmobil., empres. y alquileres (036)",159,87,7,63,2,,
"Admin.pub. y defensa; p. segur soc.afil (037)",625,593,32,,,,
"Enseñanza (038)",796,755,,35,3,3,
"Servicios sociales y de salud (039)",119,101,,17,,1,
"Otras activ. serv.comun.soc y personales (040)",136,45,11,74,,6,
"Hogares privados con servicio doméstico (041)",15,,,,,,15
"Actividad economica no especificada (043)",422,93,62,230,4,33,
"Mujeres (044)",12520,669,183,6638,33,4901,96
"Agric., ganadería, caza y silvicultura (045)",8544,4,129,3913,9,4489,
"Pesca (046)",29,,1,15,,13,
"Explotación de minas y canteras (047)",2,1,1,,,,
"Industrias manufactureras (048)",320,5,10,286,1,18,
"Suministro de electricidad, gas y agua (049)",2,2,,,,,
"Construcción (050)",11,1,4,5,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",2161,55,,1780,14,312,
"Venta, mant.y rep. veh.autom y motoc. (052)",23,2,,15,,6,
"Comercio al por mayor (053)",37,1,,29,1,6,
"Comercio al por menor (054)",2101,52,,1736,13,300,
"Hoteles y restaurantes (055)",345,39,1,274,5,26,
"Trans., almac. y comunicaciones (056)",37,18,1,13,,5,
"Intermediación financiera (057)",3,2,,1,,,
"Activid.inmobil., empres. y alquileres (058)",38,27,1,7,2,1,
"Admin.pub. y defensa; p. segur soc.afil (059)",110,99,11,,,,
"Enseñanza (060)",296,281,,14,,1,
"Servicios sociales y de salud (061)",88,87,,1,,,
"Otras activ. serv.comun.soc y personales (062)",41,10,3,26,,2,
"Hogares privados con servicio doméstico (063)",96,,,,,,96
"Actividad economica no especificada (065)",397,38,21,303,2,33,
,,,,,,,
"URBANA (066)",9017,2044,659,5277,89,878,70
"Agric., ganadería, caza y silvicultura (067)",1995,7,169,1363,23,433,
"Pesca (068)",8,1,,5,,2,
"Explotación de minas y canteras (069)",9,2,6,1,,,
"Industrias manufactureras (070)",395,18,62,294,6,15,
"Suministro de electricidad, gas y agua (071)",19,8,11,,,,
"Construcción (072)",325,13,232,69,,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2859,98,19,2377,33,332,
"Venta, mant.y rep. veh.autom y motoc. (074)",181,8,16,145,6,6,
"Comercio al por mayor (075)",63,8,,48,1,6,
"Comercio al por menor (076)",2615,82,3,2184,26,320,
"Hoteles y restaurantes (077)",409,63,3,303,9,31,
"Trans., almac. y comunicaciones (078)",632,98,34,483,6,11,
"Intermediación financiera (079)",10,8,,2,,,
"Activid.inmobil., empres. y alquileres (080)",145,76,8,57,4,,
"Admin.pub. y defensa; p. segur soc.afil (081)",590,555,35,,,,
"Enseñanza (082)",828,788,,35,3,2,
"Servicios sociales y de salud (083)",166,150,,15,,1,
"Otras activ. serv.comun.soc y personales (084)",151,49,13,84,,5,
"Hogares privados con servicio doméstico (085)",70,,,,,,70
"Actividad economica no especificada (087)",406,110,67,189,5,35,
"Hombres (088)",5289,1458,552,2919,65,282,13
"Agric., ganadería, caza y silvicultura (089)",1225,5,108,942,21,149,
"Pesca (090)",8,1,,5,,2,
"Explotación de minas y canteras (091)",7,1,5,1,,,
"Industrias manufactureras (092)",262,13,56,179,6,8,
"Suministro de electricidad, gas y agua (093)",17,6,11,,,,
"Construcción (094)",316,12,229,65,,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1101,49,19,947,19,67,
"Venta, mant.y rep. veh.autom y motoc. (096)",159,6,16,130,6,1,
"Comercio al por mayor (097)",27,7,,20,,,
"Comercio al por menor (098)",915,36,3,797,13,66,
"Hoteles y restaurantes (099)",119,29,2,72,4,12,
"Trans., almac. y comunicaciones (100)",599,80,33,473,6,7,
"Intermediación financiera (101)",7,6,,1,,,
"Activid.inmobil., empres. y alquileres (102)",113,53,7,51,2,,
"Admin.pub. y defensa; p. segur soc.afil (103)",491,466,25,,,,
"Enseñanza (104)",574,545,,25,3,1,
"Servicios sociales y de salud (105)",89,73,,15,,1,
"Otras activ. serv.comun.soc y personales (106)",112,39,10,59,,4,
"Hogares privados con servicio doméstico (107)",13,,,,,,13
"Actividad economica no especificada (109)",236,80,47,84,4,21,
"Mujeres (110)",3728,586,107,2358,24,596,57
"Agric., ganadería, caza y silvicultura (111)",770,2,61,421,2,284,
"Explotación de minas y canteras (113)",2,1,1,,,,
"Industrias manufactureras (114)",133,5,6,115,,7,
"Suministro de electricidad, gas y agua (115)",2,2,,,,,
"Construcción (116)",9,1,3,4,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1758,49,,1430,14,265,
"Venta, mant.y rep. veh.autom y motoc. (118)",22,2,,15,,5,
"Comercio al por mayor (119)",36,1,,28,1,6,
"Comercio al por menor (120)",1700,46,,1387,13,254,
"Hoteles y restaurantes (121)",290,34,1,231,5,19,
