"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TARMA (000)",33070,19732,13338
"Casa independiente (001)",31519,18540,12979
"Departamento en edificio (002)",255,255,
"Vivienda en quinta (003)",534,534,
"Vivienda en casa de vecindad (004)",352,352,
"Choza o cabaña (005)",356,,356
"Vivienda improvisada (006)",14,14,
"Local no dest.para hab. humana (007)",35,33,2
"Otro tipo (008)",5,4,1
