"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia UCAYALI (000)",18885,18307,5499,1943,1969,1704,2754,1951,1229,1258,578,60788
"De 12 a 14 años (001)",2609,2574,2547,22,5,,,,,,35,32
"De 15 a 19 años (002)",3310,3182,2199,679,247,42,15,,,,128,1359
"De 20 a 24 años (003)",2354,2174,415,587,620,381,159,12,,,180,3716
"De 25 a 29 años (004)",2118,2024,148,298,518,448,510,91,11,,94,5544
"De 30 a 34 años (005)",1790,1748,49,140,241,329,616,294,67,12,42,6911
"De 35 a 39 años (006)",1601,1582,27,58,126,203,510,413,173,72,19,8070
"De 40 a 44 años (007)",1336,1325,28,59,70,127,345,333,228,135,11,7690
"De 45 a 49 años (008)",1043,1035,19,27,56,70,214,278,208,163,8,6750
"De 50 y más años (009)",2724,2663,67,73,86,104,385,530,542,876,61,20716
"Sin nivel (010)",785,760,80,37,43,43,116,148,119,174,25,4808
"De 12 a 14 años (011)",21,21,21,,,,,,,,,
"De 15 a 19 años (012)",37,37,25,7,4,1,,,,,,18
"De 20 a 24 años (013)",26,24,5,4,6,6,2,1,,,2,50
"De 25 a 29 años (014)",34,32,1,4,7,7,11,2,,,2,100
"De 30 a 34 años (015)",41,40,,3,6,2,16,9,2,2,1,191
"De 35 a 39 años (016)",49,47,2,2,1,4,11,15,7,5,2,273
"De 40 a 44 años (017)",68,67,4,4,3,3,13,16,16,8,1,412
"De 45 a 49 años (018)",67,65,5,1,5,4,7,16,12,15,2,426
"De 50 y más años (019)",442,427,17,12,11,16,56,89,82,144,15,3338
"Educacion Inicial (020)",18,17,5,3,1,2,1,4,1,,1,50
"De 12 a 14 años (021)",4,4,4,,,,,,,,,
"De 15 a 19 años (022)",1,1,1,,,,,,,,,
