"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CANCHIS (000)",91638,4470,11646,13020,10075,13532,12245,19575,7075
"Sin nivel (001)",15049,4470,767,60,91,383,835,4246,4197
"Educación inicial (002)",2705,,2589,30,15,43,28,,
"Primaria (003)",34299,,8290,8190,915,2354,3943,8367,2240
"Secundaria (004)",26336,,,4740,8012,5426,3897,3877,384
"Superior no univ. incompleto (005)",3497,,,,609,1832,619,407,30
"Superior no univ. completo (006)",4827,,,,,1711,1753,1264,99
"Superior univ. incompleto (007)",2276,,,,433,1165,289,367,22
"Superior univ. completo (008)",2649,,,,,618,881,1047,103
"Hombres (010)",44327,2281,5924,6670,5132,6329,5654,9354,2983
"Sin nivel (011)",4618,2281,399,25,33,90,166,701,923
"Educación inicial (012)",1348,,1310,13,6,12,7,,
"Primaria (013)",16691,,4215,4203,399,759,1409,4108,1598
"Secundaria (014)",14394,,,2429,4153,2810,2120,2616,266
"Superior no univ. incompleto (015)",1869,,,,309,932,328,277,23
"Superior no univ. completo (016)",2575,,,,,823,927,755,70
"Superior univ. incompleto (017)",1327,,,,232,629,189,258,19
"Superior univ. completo (018)",1505,,,,,274,508,639,84
"Mujeres (020)",47311,2189,5722,6350,4943,7203,6591,10221,4092
"Sin nivel (021)",10431,2189,368,35,58,293,669,3545,3274
"Educación inicial (022)",1357,,1279,17,9,31,21,,
"Primaria (023)",17608,,4075,3987,516,1595,2534,4259,642
"Secundaria (024)",11942,,,2311,3859,2616,1777,1261,118
"Superior no univ. incompleto (025)",1628,,,,300,900,291,130,7
"Superior no univ. completo (026)",2252,,,,,888,826,509,29
"Superior univ. incompleto (027)",949,,,,201,536,100,109,3
"Superior univ. completo (028)",1144,,,,,344,373,408,19
,,,,,,,,,
"URBANA (030)",55187,2583,7097,7801,6412,9026,7957,11223,3088
"Sin nivel (031)",6060,2583,311,24,33,98,248,1350,1413
"Educación inicial (032)",1666,,1620,23,5,13,5,,
"Primaria (033)",18157,,5166,4573,362,934,1830,4162,1130
"Secundaria (034)",17603,,,3181,5160,3455,2669,2833,305
