"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUALGAYOC (000)",32335,5838,26497
"Casa independiente (001)",30921,5429,25492
"Departamento en edificio (002)",86,86,
"Vivienda en quinta (003)",105,105,
"Vivienda en casa de vecindad (004)",206,206,
"Choza o cabaña (005)",1005,,1005
"Vivienda improvisada (006)",9,9,
"Local no dest.para hab. humana (007)",2,2,
"Otro tipo (008)",1,1,
