"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ANDAHUAYLAS (000)",142511,63451,79060
"Casa independiente (001)",138536,60968,77568
"Departamento en edificio (002)",747,747,
"Vivienda en quinta (003)",478,478,
"Vivienda en casa de vecindad (004)",1066,1066,
"Choza o cabaña (005)",1468,,1468
"Vivienda improvisada (006)",118,118,
"Local no dest.para hab. humana (007)",85,61,24
"Otro tipo (008)",13,13,
