"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia JAEN (000)",61205,95,4717,1707,1537,6190,15769,2873,5132,20844,209,2132
"Agric., ganadería, caza y silvicultura (001)",31084,4,35,34,13,,15763,8,32,15195,,
"Pesca (002)",7,,,,,,6,,,1,,
"Explotación de minas y canteras (003)",66,,12,6,2,,,20,8,18,,
"Industrias manufactureras (004)",2235,1,19,70,27,28,,1869,169,52,,
"Suministro de electricidad, gas y agua (005)",88,,7,8,14,,,30,14,15,,
"Construcción (006)",2172,,88,86,13,,,98,1350,537,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7179,1,32,215,57,4801,,795,67,1211,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",922,,7,21,16,195,,617,42,24,,
"Comercio al por mayor (009)",379,,6,53,17,255,,,10,38,,
"Comercio al por menor (010)",5878,1,19,141,24,4351,,178,15,1149,,
"Hoteles y restaurantes (011)",1756,5,12,73,54,1071,,1,,540,,
"Trans., almac. y comunicaciones (012)",4073,1,7,57,108,1,,16,3370,513,,
"Intermediación financiera (013)",136,,13,31,90,,,,,2,,
"Activid.inmobil., empres. y alquileres (014)",1332,2,301,353,362,104,,13,58,139,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1043,31,63,66,360,26,,11,49,228,209,
"Enseñanza (016)",3843,47,3657,19,84,,,1,3,32,,
"Servicios sociales y de salud (017)",929,1,387,384,54,31,,4,5,63,,
"Otras activ. serv.comun.soc y personales (018)",1291,,37,198,54,128,,7,7,860,,
"Hogares privados con servicio doméstico (019)",1427,,,1,,,,,,1426,,
"Actividad economica no especificada (021)",2544,2,47,106,245,,,,,12,,2132
"Hombres (022)",46565,73,2365,1087,737,2941,14850,2389,5043,15755,205,1120
"Agric., ganadería, caza y silvicultura (023)",28028,4,27,30,11,,14846,8,32,13070,,
"Pesca (024)",5,,,,,,4,,,1,,
"Explotación de minas y canteras (025)",61,,10,6,1,,,20,8,16,,
"Industrias manufactureras (026)",1683,,11,43,14,18,,1409,147,41,,
"Suministro de electricidad, gas y agua (027)",78,,7,7,7,,,29,14,14,,
"Construcción (028)",2132,,82,83,10,,,97,1331,529,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4035,1,19,124,25,2373,,777,65,651,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",828,,6,19,9,122,,609,40,23,,
"Comercio al por mayor (031)",255,,3,31,10,165,,,10,36,,
"Comercio al por menor (032)",2952,1,10,74,6,2086,,168,15,592,,
"Hoteles y restaurantes (033)",639,3,7,41,37,375,,1,,175,,
"Trans., almac. y comunicaciones (034)",3880,1,7,36,67,1,,16,3331,421,,
"Intermediación financiera (035)",78,,9,18,50,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",832,1,222,242,131,102,,12,52,70,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",787,29,45,48,228,22,,10,48,152,205,
"Enseñanza (038)",1777,32,1678,8,34,,,1,3,21,,
"Servicios sociales y de salud (039)",403,,175,163,22,19,,4,5,15,,
"Otras activ. serv.comun.soc y personales (040)",771,,29,171,20,31,,5,7,508,,
"Hogares privados con servicio doméstico (041)",61,,,,,,,,,61,,
"Actividad economica no especificada (043)",1315,2,37,67,80,,,,,9,,1120
"Mujeres (044)",14640,22,2352,620,800,3249,919,484,89,5089,4,1012
"Agric., ganadería, caza y silvicultura (045)",3056,,8,4,2,,917,,,2125,,
"Pesca (046)",2,,,,,,2,,,,,
"Explotación de minas y canteras (047)",5,,2,,1,,,,,2,,
"Industrias manufactureras (048)",552,1,8,27,13,10,,460,22,11,,
"Suministro de electricidad, gas y agua (049)",10,,,1,7,,,1,,1,,
"Construcción (050)",40,,6,3,3,,,1,19,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3144,,13,91,32,2428,,18,2,560,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",94,,1,2,7,73,,8,2,1,,
"Comercio al por mayor (053)",124,,3,22,7,90,,,,2,,
"Comercio al por menor (054)",2926,,9,67,18,2265,,10,,557,,
"Hoteles y restaurantes (055)",1117,2,5,32,17,696,,,,365,,
"Trans., almac. y comunicaciones (056)",193,,,21,41,,,,39,92,,
"Intermediación financiera (057)",58,,4,13,40,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",500,1,79,111,231,2,,1,6,69,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",256,2,18,18,132,4,,1,1,76,4,
"Enseñanza (060)",2066,15,1979,11,50,,,,,11,,
"Servicios sociales y de salud (061)",526,1,212,221,32,12,,,,48,,
"Otras activ. serv.comun.soc y personales (062)",520,,8,27,34,97,,2,,352,,
"Hogares privados con servicio doméstico (063)",1366,,,1,,,,,,1365,,
"Actividad economica no especificada (065)",1229,,10,39,165,,,,,3,,1012
,,,,,,,,,,,,
"URBANA (066)",33199,79,4040,1594,1471,5543,3552,2583,4634,7786,202,1715
"Agric., ganadería, caza y silvicultura (067)",6466,4,31,34,12,,3546,6,24,2809,,
"Pesca (068)",7,,,,,,6,,,1,,
"Explotación de minas y canteras (069)",32,,8,4,1,,,5,5,9,,
"Industrias manufactureras (070)",2003,1,17,64,26,24,,1655,166,50,,
"Suministro de electricidad, gas y agua (071)",75,,7,7,13,,,25,12,11,,
"Construcción (072)",1854,,76,74,10,,,83,1180,431,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",6531,1,32,207,55,4285,,759,61,1131,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",880,,7,18,16,185,,593,37,24,,
"Comercio al por mayor (075)",358,,6,51,15,238,,,10,38,,
"Comercio al por menor (076)",5293,1,19,138,24,3862,,166,14,1069,,
"Hoteles y restaurantes (077)",1599,4,11,72,51,965,,1,,495,,
"Trans., almac. y comunicaciones (078)",3756,1,7,56,103,1,,16,3079,493,,
"Intermediación financiera (079)",134,,13,31,89,,,,,1,,
"Activid.inmobil., empres. y alquileres (080)",1269,2,293,335,350,93,,13,52,131,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",956,27,62,63,341,25,,9,42,185,202,
"Enseñanza (082)",3202,36,3045,16,78,,,1,2,24,,
"Servicios sociales y de salud (083)",842,1,356,342,52,27,,3,5,56,,
"Otras activ. serv.comun.soc y personales (084)",1211,,36,188,53,123,,7,6,798,,
"Hogares privados con servicio doméstico (085)",1150,,,,,,,,,1150,,
"Actividad economica no especificada (087)",2112,2,46,101,237,,,,,11,,1715
"Hombres (088)",22277,61,2043,1006,694,2583,3245,2139,4550,4794,198,964
"Agric., ganadería, caza y silvicultura (089)",5740,4,23,30,10,,3241,6,24,2402,,
"Pesca (090)",5,,,,,,4,,,1,,
"Explotación de minas y canteras (091)",27,,6,4,,,,5,5,7,,
"Industrias manufactureras (092)",1496,,10,37,14,15,,1235,146,39,,
"Suministro de electricidad, gas y agua (093)",65,,7,6,6,,,24,12,10,,
"Construcción (094)",1815,,70,71,7,,,82,1162,423,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",3645,1,19,118,24,2079,,741,59,604,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",788,,6,16,9,114,,585,35,23,,
"Comercio al por mayor (097)",238,,3,30,9,150,,,10,36,,
"Comercio al por menor (098)",2619,1,10,72,6,1815,,156,14,545,,
"Hoteles y restaurantes (099)",577,2,6,41,34,328,,1,,165,,
"Trans., almac. y comunicaciones (100)",3568,1,7,35,64,1,,16,3042,402,,
"Intermediación financiera (101)",78,,9,18,50,,,,,1,,
"Activid.inmobil., empres. y alquileres (102)",782,1,214,228,124,91,,12,46,66,,
