"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUANUCO (000)",131704,106596,25108
"De 3 a 5 años (001)",17432,1284,16148
"De 6 a 11 años (002)",37807,32029,5778
"De 12 a 16 años (003)",33475,32658,817
"De 17 a 24 años (004)",42990,40625,2365
"Hombres (005)",66385,54086,12299
"De 3 a 5 años (006)",8903,666,8237
"De 6 a 11 años (007)",19352,16492,2860
"De 12 a 16 años (008)",16944,16573,371
"De 17 a 24 años (009)",21186,20355,831
"Mujeres (010)",65319,52510,12809
"De 3 a 5 años (011)",8529,618,7911
"De 6 a 11 años (012)",18455,15537,2918
"De 12 a 16 años (013)",16531,16085,446
"De 17 a 24 años (014)",21804,20270,1534
,,,
"URBANA (015)",76977,66894,10083
"De 3 a 5 años (016)",9361,1013,8348
"De 6 a 11 años (017)",19889,18560,1329
"De 12 a 16 años (018)",19542,19412,130
"De 17 a 24 años (019)",28185,27909,276
"Hombres (020)",38148,33070,5078
"De 3 a 5 años (021)",4774,514,4260
"De 6 a 11 años (022)",10118,9450,668
"De 12 a 16 años (023)",9668,9609,59
"De 17 a 24 años (024)",13588,13497,91
"Mujeres (025)",38829,33824,5005
"De 3 a 5 años (026)",4587,499,4088
"De 6 a 11 años (027)",9771,9110,661
"De 12 a 16 años (028)",9874,9803,71
"De 17 a 24 años (029)",14597,14412,185
,,,
"RURAL (030)",54727,39702,15025
"De 3 a 5 años (031)",8071,271,7800
"De 6 a 11 años (032)",17918,13469,4449
"De 12 a 16 años (033)",13933,13246,687
"De 17 a 24 años (034)",14805,12716,2089
"Hombres (035)",28237,21016,7221
"De 3 a 5 años (036)",4129,152,3977
"De 6 a 11 años (037)",9234,7042,2192
"De 12 a 16 años (038)",7276,6964,312
"De 17 a 24 años (039)",7598,6858,740
"Mujeres (040)",26490,18686,7804
"De 3 a 5 años (041)",3942,119,3823
"De 6 a 11 años (042)",8684,6427,2257
"De 12 a 16 años (043)",6657,6282,375
"De 17 a 24 años (044)",7207,5858,1349
