"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DOS DE MAYO (000)",14775,4584,10191
"Casa independiente (001)",12170,4491,7679
"Vivienda en quinta (003)",25,25,
"Vivienda en casa de vecindad (004)",46,46,
"Choza o cabaña (005)",2502,,2502
"Vivienda improvisada (006)",14,14,
"Local no dest.para hab. humana (007)",16,7,9
"Otro tipo (008)",2,1,1
