"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",20586,12675,2426,2337,3148
"Sin nivel (061)",289,244,31,9,5
"Educación inicial (062)",13,11,1,,1
"Primaria (063)",2628,2034,304,170,120
"Secundaria (064)",9230,6333,1071,806,1020
"Superior no univ. incompleta (065)",1798,1084,232,204,278
"Superior no univ. completa (066)",3209,1478,386,551,794
"Superior univ. incompleta (067)",1060,607,134,127,192
"Superior univ. completa (068)",2359,884,267,470,738
"De 06 a 14 años (070)",326,271,41,11,3
"Sin nivel (071)",4,4,,,
"Educación inicial (072)",2,2,,,
"Primaria (073)",153,129,18,5,1
"Secundaria (074)",167,136,23,6,2
"De 15 a 29 años (080)",6184,3905,880,687,712
"Sin nivel (081)",16,12,3,1,
"Educación inicial (082)",6,5,1,,
"Primaria (083)",268,201,43,20,4
"Secundaria (084)",3118,2187,435,302,194
"Superior no univ. incompleta (085)",786,479,128,91,88
"Superior no univ. completa (086)",1072,554,150,140,228
"Superior univ. incompleta (087)",368,235,51,41,41
"Superior univ. completa (088)",550,232,69,92,157
"De 30 a 44 años (090)",7862,4623,919,979,1341
"Sin nivel (091)",62,49,9,4,
"Educación inicial (092)",5,4,,,1
"Primaria (093)",649,462,102,63,22
"Secundaria (094)",3392,2361,384,276,371
"Superior no univ. incompleta (095)",693,427,74,72,120
"Superior no univ. completa (096)",1530,669,180,298,383
"Superior univ. incompleta (097)",410,224,52,55,79
"Superior univ. completa (098)",1121,427,118,211,365
"De 45 a 64 años (100)",5392,3258,526,611,997
"Sin nivel (101)",112,92,14,3,3
"Primaria (103)",1136,900,115,62,59
"Secundaria (104)",2350,1519,210,206,415
"Superior no univ. incompleta (105)",301,163,30,39,69
"Superior no univ. completa (106)",582,238,52,112,180
"Superior univ. incompleta (107)",263,138,29,29,67
"Superior univ. completa (108)",648,208,76,160,204
"De 65 y más años (110)",822,618,60,49,95
"Sin nivel (111)",95,87,5,1,2
"Primaria (113)",422,342,26,20,34
"Secundaria (114)",203,130,19,16,38
"Superior no univ. incompleta (115)",18,15,,2,1
"Superior no univ. completa (116)",25,17,4,1,3
"Superior univ. incompleta (117)",19,10,2,2,5
"Superior univ. completa (118)",40,17,4,7,12
,,,,,
"RURAL (120)",2769,1979,498,233,59
"Sin nivel (121)",170,121,33,16,
"Educación inicial (122)",1,1,,,
"Primaria (123)",830,639,131,55,5
"Secundaria (124)",1332,948,250,105,29
"Superior no univ. incompleta (125)",127,84,24,12,7
"Superior no univ. completa (126)",188,114,34,26,14
"Superior univ. incompleta (127)",40,29,7,4,
"Superior univ. completa (128)",81,43,19,15,4
"De 06 a 14 años (130)",36,29,4,3,
"Primaria (133)",20,16,3,1,
"Secundaria (134)",16,13,1,2,
"De 15 a 29 años (140)",810,533,166,94,17
"Sin nivel (141)",11,8,1,2,
"Educación inicial (142)",1,1,,,
"Primaria (143)",84,50,18,16,
"Secundaria (144)",527,356,113,51,7
"Superior no univ. incompleta (145)",71,48,12,8,3
"Superior no univ. completa (146)",76,46,14,10,6
"Superior univ. incompleta (147)",13,9,2,2,
"Superior univ. completa (148)",27,15,6,5,1
"De 30 a 44 años (150)",910,624,178,84,24
"Sin nivel (151)",30,22,5,3,
"Primaria (153)",196,130,42,22,2
"Secundaria (154)",508,362,96,37,13
"Superior no univ. incompleta (155)",39,24,10,3,2
"Superior no univ. completa (156)",87,53,17,13,4
"Superior univ. incompleta (157)",18,15,2,1,
"Superior univ. completa (158)",32,18,6,5,3
"De 45 a 64 años (160)",797,603,127,50,17
"Sin nivel (161)",85,57,18,10,
"Primaria (163)",382,309,56,15,2
"Secundaria (164)",261,198,39,15,9
"Superior no univ. incompleta (165)",15,10,2,1,2
"Superior no univ. completa (166)",24,14,3,3,4
"Superior univ. incompleta (167)",8,5,2,1,
"Superior univ. completa (168)",22,10,7,5,
"De 65 y más años (170)",216,190,23,2,1
"Sin nivel (171)",44,34,9,1,
"Primaria (173)",148,134,12,1,1
"Secundaria (174)",20,19,1,,
"Superior no univ. incompleta (175)",2,2,,,
"Superior no univ. completa (176)",1,1,,,
"Superior univ. incompleta (177)",1,,1,,
