"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PICOTA (000)",35061,1923,4212,4514,3786,6017,5263,7502,1844
"Sabe leer y escribir (001)",30135,,2945,4437,3701,5794,4973,6819,1466
"No sabe leer y escribir (002)",4926,1923,1267,77,85,223,290,683,378
"Hombres (004)",18658,1001,2157,2365,1971,3073,2843,4323,925
"Sabe leer y escribir (005)",16419,,1491,2327,1928,3002,2746,4109,816
"No sabe leer y escribir (006)",2239,1001,666,38,43,71,97,214,109
"Mujeres (008)",16403,922,2055,2149,1815,2944,2420,3179,919
"Sabe leer y escribir (009)",13716,,1454,2110,1773,2792,2227,2710,650
"No sabe leer y escribir (010)",2687,922,601,39,42,152,193,469,269
,,,,,,,,,
"URBANA (012)",22032,1057,2394,2810,2401,3556,3458,5077,1279
"Sabe leer y escribir (013)",19645,,1767,2782,2370,3476,3358,4814,1078
"No sabe leer y escribir (014)",2387,1057,627,28,31,80,100,263,201
"Hombres (016)",11515,551,1233,1471,1203,1731,1782,2922,622
"Sabe leer y escribir (017)",10409,,893,1453,1185,1708,1746,2844,580
"No sabe leer y escribir (018)",1106,551,340,18,18,23,36,78,42
"Mujeres (020)",10517,506,1161,1339,1198,1825,1676,2155,657
"Sabe leer y escribir (021)",9236,,874,1329,1185,1768,1612,1970,498
"No sabe leer y escribir (022)",1281,506,287,10,13,57,64,185,159
,,,,,,,,,
"RURAL (024)",13029,866,1818,1704,1385,2461,1805,2425,565
"Sabe leer y escribir (025)",10490,,1178,1655,1331,2318,1615,2005,388
"No sabe leer y escribir (026)",2539,866,640,49,54,143,190,420,177
"Hombres (028)",7143,450,924,894,768,1342,1061,1401,303
"Sabe leer y escribir (029)",6010,,598,874,743,1294,1000,1265,236
"No sabe leer y escribir (030)",1133,450,326,20,25,48,61,136,67
"Mujeres (032)",5886,416,894,810,617,1119,744,1024,262
"Sabe leer y escribir (033)",4480,,580,781,588,1024,615,740,152
"No sabe leer y escribir (034)",1406,416,314,29,29,95,129,284,110
