"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MANU (000)",10166,1838,3423,3724,329,572,280
"Agric., ganadería, caza y silvicultura (001)",1501,8,369,905,32,187,
"Pesca (002)",12,,3,4,,5,
"Explotación de minas y canteras (003)",2795,152,2109,360,141,33,
"Industrias manufactureras (004)",351,11,133,181,12,14,
"Suministro de electricidad, gas y agua (005)",23,3,20,,,,
"Construcción (006)",246,14,154,70,4,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1606,217,81,1063,53,192,
"Venta, mant.y rep. veh.autom.y motoc. (008)",310,36,54,195,8,17,
"Comercio al por mayor (009)",35,11,1,18,,5,
"Comercio al por menor (010)",1261,170,26,850,45,170,
"Hoteles y restaurantes (011)",1028,420,72,424,38,74,
"Trans., almac. y comunicaciones (012)",846,222,147,442,13,22,
"Intermediación financiera (013)",13,11,,,2,,
"Activid.inmobil., empres. y alquileres (014)",123,80,18,20,5,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",132,121,11,,,,
"Enseñanza (016)",249,231,,18,,,
"Servicios sociales y de salud (017)",95,80,1,13,,1,
"Otras activ. serv.comun.soc y personales (018)",252,82,70,88,3,9,
"Hogares privados con servicio doméstico (019)",280,,,,,,280
"Actividad economica no especificada (021)",614,186,235,136,26,31,
"Hombres (022)",7279,949,3235,2494,241,300,60
"Agric., ganadería, caza y silvicultura (023)",1306,8,331,808,25,134,
"Pesca (024)",12,,3,4,,5,
"Explotación de minas y canteras (025)",2556,38,2055,312,124,27,
"Industrias manufactureras (026)",302,4,127,149,10,12,
"Suministro de electricidad, gas y agua (027)",23,3,20,,,,
"Construcción (028)",239,13,148,70,4,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",828,130,80,526,29,63,
"Venta, mant.y rep. veh.autom.y motoc. (030)",284,31,53,179,8,13,
"Comercio al por mayor (031)",23,9,1,12,,1,
"Comercio al por menor (032)",521,90,26,335,21,49,
"Hoteles y restaurantes (033)",179,85,14,52,12,16,
"Trans., almac. y comunicaciones (034)",808,196,147,433,12,20,
"Intermediación financiera (035)",10,8,,,2,,
"Activid.inmobil., empres. y alquileres (036)",106,66,18,18,4,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",109,99,10,,,,
"Enseñanza (038)",116,110,,6,,,
"Servicios sociales y de salud (039)",49,38,,11,,,
"Otras activ. serv.comun.soc y personales (040)",153,49,62,38,,4,
"Hogares privados con servicio doméstico (041)",60,,,,,,60
"Actividad economica no especificada (043)",423,102,220,67,19,15,
"Mujeres (044)",2887,889,188,1230,88,272,220
"Agric., ganadería, caza y silvicultura (045)",195,,38,97,7,53,
"Explotación de minas y canteras (047)",239,114,54,48,17,6,
"Industrias manufactureras (048)",49,7,6,32,2,2,
"Construcción (050)",7,1,6,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",778,87,1,537,24,129,
"Venta, mant.y rep. veh.autom.y motoc. (052)",26,5,1,16,,4,
"Comercio al por mayor (053)",12,2,,6,,4,
"Comercio al por menor (054)",740,80,,515,24,121,
"Hoteles y restaurantes (055)",849,335,58,372,26,58,
"Trans., almac. y comunicaciones (056)",38,26,,9,1,2,
"Intermediación financiera (057)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (058)",17,14,,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",23,22,1,,,,
"Enseñanza (060)",133,121,,12,,,
"Servicios sociales y de salud (061)",46,42,1,2,,1,
"Otras activ. serv.comun.soc y personales (062)",99,33,8,50,3,5,
"Hogares privados con servicio doméstico (063)",220,,,,,,220
"Actividad economica no especificada (065)",191,84,15,69,7,16,
,,,,,,,
"URBANA (066)",3217,870,568,1400,73,197,109
"Agric., ganadería, caza y silvicultura (067)",263,4,78,154,2,25,
"Pesca (068)",5,,,3,,2,
"Explotación de minas y canteras (069)",259,27,157,56,14,5,
"Industrias manufactureras (070)",181,9,54,105,7,6,
"Suministro de electricidad, gas y agua (071)",13,3,10,,,,
"Construcción (072)",125,8,75,39,2,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",842,123,39,551,24,105,
"Venta, mant.y rep. veh.autom.y motoc. (074)",196,16,34,132,8,6,
"Comercio al por mayor (075)",14,7,1,4,,2,
"Comercio al por menor (076)",632,100,4,415,16,97,
"Hoteles y restaurantes (077)",365,147,10,184,4,20,
"Trans., almac. y comunicaciones (078)",307,98,46,152,5,6,
"Intermediación financiera (079)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (080)",63,35,7,16,5,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",95,88,7,,,,
"Enseñanza (082)",131,121,,10,,,
"Servicios sociales y de salud (083)",50,39,1,9,,1,
"Otras activ. serv.comun.soc y personales (084)",125,51,17,48,1,8,
"Hogares privados con servicio doméstico (085)",109,,,,,,109
"Actividad economica no especificada (087)",281,114,67,73,9,18,
"Hombres (088)",1984,453,522,849,47,95,18
"Agric., ganadería, caza y silvicultura (089)",219,4,63,132,2,18,
"Pesca (090)",5,,,3,,2,
"Explotación de minas y canteras (091)",216,8,148,47,8,5,
"Industrias manufactureras (092)",154,3,51,89,6,5,
"Suministro de electricidad, gas y agua (093)",13,3,10,,,,
"Construcción (094)",122,7,73,39,2,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",461,73,38,300,14,36,
"Venta, mant.y rep. veh.autom.y motoc. (096)",183,14,33,124,8,4,
"Comercio al por mayor (097)",9,5,1,2,,1,
"Comercio al por menor (098)",269,54,4,174,6,31,
"Hoteles y restaurantes (099)",63,27,5,19,2,10,
"Trans., almac. y comunicaciones (100)",286,84,46,147,4,5,
"Intermediación financiera (101)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (102)",52,27,7,14,4,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",78,71,7,,,,
"Enseñanza (104)",55,50,,5,,,
"Servicios sociales y de salud (105)",25,18,,7,,,
"Otras activ. serv.comun.soc y personales (106)",58,24,12,19,,3,
"Hogares privados con servicio doméstico (107)",18,,,,,,18
"Actividad economica no especificada (109)",157,52,62,28,5,10,
"Mujeres (110)",1233,417,46,551,26,102,91
"Agric., ganadería, caza y silvicultura (111)",44,,15,22,,7,
"Explotación de minas y canteras (113)",43,19,9,9,6,,
"Industrias manufactureras (114)",27,6,3,16,1,1,
"Construcción (116)",3,1,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",381,50,1,251,10,69,
"Venta, mant.y rep. veh.autom.y motoc. (118)",13,2,1,8,,2,
"Comercio al por mayor (119)",5,2,,2,,1,
"Comercio al por menor (120)",363,46,,241,10,66,
"Hoteles y restaurantes (121)",302,120,5,165,2,10,
"Trans., almac. y comunicaciones (122)",21,14,,5,1,1,
"Intermediación financiera (123)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (124)",11,8,,2,1,,
