"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PATAZ (000)",24578,75689,67554,,2002,89.3,2.6
"De 12 a 14 años (001)",3041,17,17,,5,100,29.4
"De 15 a 19 años (002)",3448,681,664,211,97.5,31,
"De 20 a 24 años (003)",2706,3245,3137,498,96.7,15.3,
"De 25 a 29 años (004)",2508,5604,5401,431,96.4,7.7,
"De 30 a 34 años (005)",2294,7608,7214,390,94.8,5.1,
"De 35 a 39 años (006)",2206,9680,9111,310,94.1,3.2,
"De 40 a 44 años (007)",1654,8586,7891,118,91.9,1.4,
"De 45 a 49 años (008)",1417,8088,7381,39,91.3,0.5,
"De 50 y más años (009)",5304,32180,26738,,83.1,,
"PEA (010)",3575,9191,8406,185,91.5,2,
"De 12 a 14 años (011)",95,1,1,,100,,
"De 15 a 19 años (012)",394,52,52,9,100,17.3,
"De 20 a 24 años (013)",471,312,303,41,97.1,13.1,
"De 25 a 29 años (014)",500,624,611,37,97.9,5.9,
"De 30 a 34 años (015)",465,1022,973,51,95.2,5,
"De 35 a 39 años (016)",404,1290,1241,33,96.2,2.6,
"De 40 a 44 años (017)",355,1423,1320,11,92.8,0.8,
"De 45 a 49 años (018)",284,1252,1177,3,94,0.2,
"De 50 y más años (019)",607,3215,2728,,84.9,,
"Ocupada (020)",3375,9044,8268,176,91.4,1.9,
"De 12 a 14 años (021)",73,1,1,,100,,
"De 15 a 19 años (022)",312,46,46,7,100,15.2,
"De 20 a 24 años (023)",425,290,283,38,97.6,13.1,
"De 25 a 29 años (024)",484,615,602,36,97.9,5.9,
"De 30 a 34 años (025)",452,997,948,50,95.1,5,
"De 35 a 39 años (026)",397,1263,1217,31,96.4,2.5,
"De 40 a 44 años (027)",350,1402,1299,11,92.7,0.8,
"De 45 a 49 años (028)",283,1246,1171,3,94,0.2,
"De 50 y más años (029)",599,3184,2701,,84.8,,
"Desocupada (030)",200,147,138,9,93.9,6.1,
"De 12 a 14 años (031)",22,,,,,,
"De 15 a 19 años (032)",82,6,6,2,100,33.3,
"De 20 a 24 años (033)",46,22,20,3,90.9,13.6,
"De 25 a 29 años (034)",16,9,9,1,100,11.1,
"De 30 a 34 años (035)",13,25,25,1,100,4,
"De 35 a 39 años (036)",7,27,24,2,88.9,7.4,
