"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL CACERES (000)",17155,16670,4455,2223,2533,2012,2472,1412,837,726,485,48591
"De 12 a 14 años (001)",1906,1888,1868,18,2,,,,,,18,22
"De 15 a 19 años (002)",2501,2413,1781,503,116,10,3,,,,88,777
"De 20 a 24 años (003)",2002,1855,463,719,486,142,41,4,,,147,2317
"De 25 a 29 años (004)",1866,1753,142,421,616,349,206,16,3,,113,3689
"De 30 a 34 años (005)",1726,1694,62,226,472,416,419,85,12,2,32,4866
"De 35 a 39 años (006)",1634,1608,33,117,330,417,466,192,40,13,26,5783
"De 40 a 44 años (007)",1373,1362,34,78,209,276,401,236,85,43,11,5775
"De 45 a 49 años (008)",1096,1090,20,47,117,174,326,223,125,58,6,5402
"De 50 y más años (009)",3051,3007,52,94,185,228,610,656,572,610,44,19960
"Conviviente (010)",6768,6590,443,1374,1447,1044,1227,582,273,200,178,21061
"De 12 a 14 años (011)",55,42,31,10,1,,,,,,13,12
"De 15 a 19 años (012)",723,653,188,365,91,6,3,,,,70,577
"De 20 a 24 años (013)",1162,1115,113,503,363,103,31,2,,,47,1681
"De 25 a 29 años (014)",1166,1138,44,256,433,247,146,11,1,,28,2550
"De 30 a 34 años (015)",1006,1001,17,128,274,239,279,57,7,,5,3005
"De 35 a 39 años (016)",848,845,12,50,152,230,256,116,23,6,3,3174
"De 40 a 44 años (017)",632,631,11,22,60,115,217,142,42,22,1,2940
"De 45 a 49 años (018)",446,444,7,17,35,62,140,94,61,28,2,2343
"De 50 y más años (019)",730,721,20,23,38,42,155,160,139,144,9,4779
"Separado(a) (020)",584,574,14,108,117,88,121,70,29,27,10,2145
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",31,26,4,21,1,,,,,,5,23
