"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MELGAR (000)",1647,16,921,509,165,36
"Conviviente (001)",616,2,282,275,52,5
"Separado(a) (002)",51,,24,19,5,3
"Casado(a) (003)",230,,11,112,88,19
"Viudo(a) (004)",31,,3,10,12,6
"Divorciado(a) (005)",4,,2,2,,
"Soltero(a) (006)",715,14,599,91,8,3
"Hombres (008)",1168,12,611,380,137,28
"Conviviente (009)",466,2,184,230,45,5
"Separado(a) (010)",18,,5,6,4,3
"Casado(a) (011)",179,,9,82,74,14
"Viudo(a) (012)",20,,1,5,9,5
"Divorciado(a) (013)",1,,1,,,
"Soltero(a) (014)",484,10,411,57,5,1
"Mujeres (016)",479,4,310,129,28,8
"Conviviente (017)",150,,98,45,7,
"Separado(a) (018)",33,,19,13,1,
"Casado(a) (019)",51,,2,30,14,5
"Viudo(a) (020)",11,,2,5,3,1
"Divorciado(a) (021)",3,,1,2,,
"Soltero(a) (022)",231,4,188,34,3,2
,,,,,,
"AREA URBANA (024)",1028,8,531,347,112,30
"Conviviente (025)",404,,180,184,37,3
"Separado(a) (026)",27,,12,10,3,2
"Casado(a) (027)",162,,5,83,58,16
"Viudo(a) (028)",25,,2,9,8,6
"Divorciado(a) (029)",3,,2,1,,
"Soltero(a) (030)",407,8,330,60,6,3
"Hombres (032)",692,5,333,245,87,22
"Conviviente (033)",284,,105,146,30,3
"Separado(a) (034)",9,,2,3,2,2
"Casado(a) (035)",119,,4,57,47,11
"Viudo(a) (036)",14,,,4,5,5
"Divorciado(a) (037)",1,,1,,,
"Soltero(a) (038)",265,5,221,35,3,1
"Mujeres (040)",336,3,198,102,25,8
"Conviviente (041)",120,,75,38,7,
"Separado(a) (042)",18,,10,7,1,
"Casado(a) (043)",43,,1,26,11,5
"Viudo(a) (044)",11,,2,5,3,1
"Divorciado(a) (045)",2,,1,1,,
"Soltero(a) (046)",142,3,109,25,3,2
,,,,,,
"AREA RURAL (048)",619,8,390,162,53,6
"Conviviente (049)",212,2,102,91,15,2
"Separado(a) (050)",24,,12,9,2,1
"Casado(a) (051)",68,,6,29,30,3
"Viudo(a) (052)",6,,1,1,4,
"Divorciado(a) (053)",1,,,1,,
"Soltero(a) (054)",308,6,269,31,2,
"Hombres (056)",476,7,278,135,50,6
"Conviviente (057)",182,2,79,84,15,2
"Separado(a) (058)",9,,3,3,2,1
"Casado(a) (059)",60,,5,25,27,3
"Viudo(a) (060)",6,,1,1,4,
"Soltero(a) (062)",219,5,190,22,2,
"Mujeres (064)",143,1,112,27,3,
"Conviviente (065)",30,,23,7,,
"Separado(a) (066)",15,,9,6,,
"Casado(a) (067)",8,,1,4,3,
"Divorciado(a) (069)",1,,,1,,
"Soltero(a) (070)",89,1,79,9,,
