"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CHOTA (000)",47431,5483,8393,23157,585,7116,662,2035
"Agric., ganadería, caza y silvicultura (001)",31579,29,6680,18115,417,6338,,
"Explotación de minas y canteras (003)",338,81,251,3,,3,,
"Industrias manufactureras (004)",1659,21,243,1230,17,148,,
"Suministro de electricidad, gas y agua (005)",48,7,40,,1,,,
"Construcción (006)",954,70,688,173,18,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2414,260,28,1782,64,280,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",106,9,19,69,8,1,,
"Comercio al por mayor (009)",63,11,4,38,2,8,,
"Comercio al por menor (010)",2245,240,5,1675,54,271,,
"Hoteles y restaurantes (011)",603,166,29,340,22,46,,
"Trans., almac. y comunicaciones (012)",902,237,96,544,13,12,,
"Intermediación financiera (013)",23,22,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",422,313,32,69,4,4,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",810,716,94,,,,,
"Enseñanza (016)",2754,2578,,172,1,3,,
"Servicios sociales y de salud (017)",591,510,,67,11,3,,
"Otras activ. serv.comun.soc y personales (018)",399,190,55,121,3,30,,
"Hogares privados con servicio doméstico (019)",662,,,,,,662,
"Actividad economica no especificada (021)",1238,283,157,541,14,243,,
"Desocupado (022)",2035,,,,,,,2035
"Hombres (023)",37362,3333,7658,19338,511,4843,36,1643
"Agric., ganadería, caza y silvicultura (024)",27885,28,6129,16724,390,4614,,
"Explotación de minas y canteras (026)",321,70,245,3,,3,,
"Industrias manufactureras (027)",768,10,188,508,12,50,,
"Suministro de electricidad, gas y agua (028)",47,7,39,,1,,,
"Construcción (029)",940,66,680,171,18,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1247,134,25,961,51,76,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",97,5,18,66,8,,,
"Comercio al por mayor (032)",45,7,4,27,2,5,,
"Comercio al por menor (033)",1105,122,3,868,41,71,,
"Hoteles y restaurantes (034)",161,75,11,53,8,14,,
"Trans., almac. y comunicaciones (035)",856,206,95,531,12,12,,
"Intermediación financiera (036)",14,13,,,,1,,
"Activid.inmobil., empres. y alquileres (037)",327,232,30,59,4,2,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",639,553,86,,,,,
"Enseñanza (039)",1585,1502,,82,1,,,
"Servicios sociales y de salud (040)",265,210,,47,6,2,,
"Otras activ. serv.comun.soc y personales (041)",224,110,35,59,3,17,,
"Hogares privados con servicio doméstico (042)",36,,,,,,36,
"Actividad economica no especificada (044)",404,117,95,140,5,47,,
"Desocupado (045)",1643,,,,,,,1643
"Mujeres (046)",10069,2150,735,3819,74,2273,626,392
"Agric., ganadería, caza y silvicultura (047)",3694,1,551,1391,27,1724,,
"Explotación de minas y canteras (049)",17,11,6,,,,,
"Industrias manufactureras (050)",891,11,55,722,5,98,,
"Suministro de electricidad, gas y agua (051)",1,,1,,,,,
"Construcción (052)",14,4,8,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1167,126,3,821,13,204,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",9,4,1,3,,1,,
"Comercio al por mayor (055)",18,4,,11,,3,,
"Comercio al por menor (056)",1140,118,2,807,13,200,,
"Hoteles y restaurantes (057)",442,91,18,287,14,32,,
"Trans., almac. y comunicaciones (058)",46,31,1,13,1,,,
"Intermediación financiera (059)",9,9,,,,,,
"Activid.inmobil., empres. y alquileres (060)",95,81,2,10,,2,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",171,163,8,,,,,
"Enseñanza (062)",1169,1076,,90,,3,,
"Servicios sociales y de salud (063)",326,300,,20,5,1,,
"Otras activ. serv.comun.soc y personales (064)",175,80,20,62,,13,,
"Hogares privados con servicio doméstico (065)",626,,,,,,626,
"Actividad economica no especificada (067)",834,166,62,401,9,196,,
"Desocupado (068)",392,,,,,,,392
,,,,,,,,
"URBANA (069)",12135,4170,1264,4772,196,800,373,560
"Agric., ganadería, caza y silvicultura (070)",2862,23,587,1789,59,404,,
"Explotación de minas y canteras (072)",20,6,12,1,,1,,
"Industrias manufactureras (073)",665,17,119,493,13,23,,
"Suministro de electricidad, gas y agua (074)",17,6,10,,1,,,
"Construcción (075)",459,38,299,106,14,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1766,188,21,1282,52,223,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",87,8,17,55,6,1,,
"Comercio al por mayor (078)",40,7,1,25,2,5,,
"Comercio al por menor (079)",1639,173,3,1202,44,217,,
"Hoteles y restaurantes (080)",440,124,15,245,20,36,,
"Trans., almac. y comunicaciones (081)",616,179,56,361,8,12,,
"Intermediación financiera (082)",19,19,,,,,,
"Activid.inmobil., empres. y alquileres (083)",251,176,4,65,3,3,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",674,611,63,,,,,
"Enseñanza (085)",2122,2027,,91,1,3,,
"Servicios sociales y de salud (086)",483,415,,55,10,3,,
"Otras activ. serv.comun.soc y personales (087)",284,140,28,96,2,18,,
"Hogares privados con servicio doméstico (088)",373,,,,,,373,
"Actividad economica no especificada (090)",524,201,50,188,13,72,,
"Desocupado (091)",560,,,,,,,560
"Hombres (092)",7850,2409,1113,3380,143,413,21,371
"Agric., ganadería, caza y silvicultura (093)",2462,22,510,1603,48,279,,
"Explotación de minas y canteras (095)",18,5,11,1,,1,,
"Industrias manufactureras (096)",466,8,92,342,9,15,,
"Suministro de electricidad, gas y agua (097)",17,6,10,,1,,,
"Construcción (098)",452,35,297,104,14,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",917,103,18,693,41,62,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",79,4,16,53,6,,,
"Comercio al por mayor (101)",26,4,1,16,2,3,,
"Comercio al por menor (102)",812,95,1,624,33,59,,
"Hoteles y restaurantes (103)",112,50,6,37,7,12,,
"Trans., almac. y comunicaciones (104)",579,153,55,351,8,12,,
"Intermediación financiera (105)",10,10,,,,,,
"Activid.inmobil., empres. y alquileres (106)",177,113,3,56,3,2,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",525,466,59,,,,,
"Enseñanza (108)",1156,1114,,41,1,,,
"Servicios sociales y de salud (109)",202,157,,38,5,2,,
"Otras activ. serv.comun.soc y personales (110)",155,74,20,50,2,9,,
"Hogares privados con servicio doméstico (111)",21,,,,,,21,
"Actividad economica no especificada (113)",210,93,32,64,4,17,,
"Desocupado (114)",371,,,,,,,371
"Mujeres (115)",4285,1761,151,1392,53,387,352,189
"Agric., ganadería, caza y silvicultura (116)",400,1,77,186,11,125,,
"Explotación de minas y canteras (118)",2,1,1,,,,,
"Industrias manufactureras (119)",199,9,27,151,4,8,,
"Construcción (121)",7,3,2,2,,,,
