"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BELLAVISTA (000)",13608,7182,6426
"Casa independiente (001)",11038,6868,4170
"Departamento en edificio (002)",10,10,
"Vivienda en quinta (003)",197,197,
"Vivienda en casa de vecindad (004)",44,44,
"Choza o cabaña (005)",2247,,2247
"Vivienda improvisada (006)",51,51,
"Local no dest.para hab. humana (007)",16,8,8
"Otro tipo (008)",5,4,1
