"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PUERTO INCA (000)",30810,5982,24828
"Casa independiente (001)",19746,5886,13860
"Vivienda en quinta (003)",11,11,
"Vivienda en casa de vecindad (004)",41,41,
"Choza o cabaña (005)",10944,,10944
"Vivienda improvisada (006)",31,31,
"Local no dest.para hab. humana (007)",19,13,6
"Otro tipo (008)",18,,18
