"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 30 a 34 años (085)",3251,3046,223,626,956,728,442,60,6,5,205,7097
"De 35 a 39 años (086)",3210,3081,185,338,706,797,812,197,39,7,129,9335
"De 40 a 44 años (087)",2971,2886,127,241,466,615,904,379,117,37,85,10783
"De 45 a 49 años (088)",2573,2512,101,188,304,359,736,472,245,107,61,11439
"De 50 y más años (089)",8730,8552,433,385,488,617,1494,1745,1482,1908,178,56429
"Conviviente (090)",12028,11720,618,2598,2560,1851,1993,1024,575,501,308,39314
"De 12 a 14 años (091)",50,16,7,7,2,,,,,,34,11
"De 15 a 19 años (092)",630,520,165,313,33,8,1,,,,110,407
"De 20 a 24 años (093)",1702,1620,170,977,377,76,16,4,,,82,2054
"De 25 a 29 años (094)",1876,1844,66,615,738,308,108,8,1,,32,3522
"De 30 a 34 años (095)",1895,1878,48,340,622,503,310,44,6,5,17,4802
"De 35 a 39 años (096)",1629,1617,31,146,379,438,473,122,23,5,12,5324
"De 40 a 44 años (097)",1298,1291,27,73,176,260,456,212,66,21,7,5345
"De 45 a 49 años (098)",1000,994,28,51,108,129,288,213,123,54,6,4955
"De 50 y más años (099)",1948,1940,76,76,125,129,341,421,356,416,8,12894
"Separado(a) (100)",1834,1798,26,578,365,232,263,182,79,73,36,5888
"De 12 a 14 años (101)",5,2,1,1,,,,,,,3,1
"De 15 a 19 años (102)",48,44,5,39,,,,,,,4,39
"De 20 a 24 años (103)",181,175,4,135,35,,,1,,,6,212
"De 25 a 29 años (104)",219,218,1,122,66,23,6,,,,1,349
"De 30 a 34 años (105)",222,219,1,97,61,34,23,3,,,3,439
"De 35 a 39 años (106)",216,208,1,58,54,42,39,13,1,,8,546
"De 40 a 44 años (107)",243,239,6,46,65,45,46,27,3,1,4,728
"De 45 a 49 años (108)",203,202,,26,36,36,59,29,9,7,1,798
"De 50 y más años (109)",497,491,7,54,48,52,90,109,66,65,6,2776
"Casado(a) (110)",8352,8263,200,669,1150,1233,1867,1292,853,999,89,42151
"De 12 a 14 años (111)",9,5,4,,1,,,,,,4,2
"De 15 a 19 años (112)",39,29,12,14,3,,,,,,10,20
"De 20 a 24 años (113)",188,167,31,90,42,1,2,1,,,21,192
"De 25 a 29 años (114)",360,353,18,118,143,51,21,2,,,7,656
"De 30 a 34 años (115)",677,667,22,119,238,171,104,13,,,10,1636
"De 35 a 39 años (116)",969,960,18,71,230,288,278,59,15,1,9,3108
"De 40 a 44 años (117)",1110,1105,15,62,188,275,374,134,43,14,5,4259
"De 45 a 49 años (118)",1093,1088,11,66,130,162,351,219,105,44,5,5160
"De 50 y más años (119)",3907,3889,69,129,175,285,737,864,690,940,18,27118
"Viudo(a) (120)",1994,1971,36,85,115,159,345,360,382,489,23,13848
"De 15 a 19 años (122)",2,,,,,,,,,,2,
"De 20 a 24 años (123)",5,5,1,2,1,1,,,,,,7
"De 25 a 29 años (124)",13,13,1,6,4,1,1,,,,,21
"De 30 a 34 años (125)",21,18,,7,6,4,1,,,,3,35
"De 35 a 39 años (126)",32,32,2,3,9,7,9,1,,1,,99
"De 40 a 44 años (127)",56,56,1,6,7,16,15,5,5,1,,220
"De 45 a 49 años (128)",74,74,1,3,11,11,27,11,8,2,,339
"De 50 y más años (129)",1791,1773,30,58,77,119,292,343,369,485,18,13127
"Divorciado(a) (130)",87,82,8,18,20,10,12,11,1,2,5,244
"De 20 a 24 años (133)",4,2,1,1,,,,,,,2,1
"De 25 a 29 años (134)",2,2,,2,,,,,,,,2
"De 30 a 34 años (135)",9,7,,3,3,1,,,,,2,12
"De 35 a 39 años (136)",11,11,1,2,2,2,2,2,,,,32
"De 40 a 44 años (137)",13,12,1,2,5,1,2,1,,,1,31
"De 45 a 49 años (138)",13,13,1,5,3,2,2,,,,,25
"De 50 y más años (139)",35,35,4,3,7,4,6,8,1,2,,141
"Soltero(a) (140)",11238,9965,9125,455,206,111,68,,,,1273,1472
"De 12 a 14 años (141)",3276,3275,3269,4,2,,,,,,1,8
"De 15 a 19 años (142)",3943,3941,3901,28,8,1,3,,,,2,59
"De 20 a 24 años (143)",1505,1086,996,76,10,3,1,,,,419,109
"De 25 a 29 años (144)",741,405,291,75,31,7,1,,,,336,162
"De 30 a 34 años (145)",427,257,152,60,26,15,4,,,,170,173
"De 35 a 39 años (146)",353,253,132,58,32,20,11,,,,100,226
"De 40 a 44 años (147)",251,183,77,52,25,18,11,,,,68,200
"De 45 a 49 años (148)",190,141,60,37,16,19,9,,,,49,162
