"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHUCUITO (000)",43840,541,13938,14356,11132,3873
"Agric., ganadería, caza y silvicultura (001)",25379,384,6855,7392,7395,3353
"Pesca (002)",318,4,109,124,75,6
"Explotación de minas y canteras (003)",64,,27,27,8,2
"Industrias manufactureras (004)",1449,13,575,502,299,60
"Suministro de electricidad, gas y agua (005)",19,,9,3,6,1
"Construcción (006)",1493,8,453,600,391,41
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5203,48,1999,1996,991,169
"Venta, mant.y rep. veh.autom.y motoc. (008)",322,5,146,118,50,3
"Comercio al por mayor (009)",164,,50,79,31,4
"Comercio al por menor (010)",4717,43,1803,1799,910,162
"Hoteles y restaurantes (011)",1214,20,558,384,228,24
"Trans., almac. y comunicaciones (012)",3512,12,1605,1306,559,30
"Intermediación financiera (013)",48,,16,15,15,2
"Activid.inmobil., empres. y alquileres (014)",242,1,90,114,31,6
"Admin.pub. y defensa; p. segur.soc.afil (015)",988,,359,424,190,15
"Enseñanza (016)",1704,,320,843,520,21
"Servicios sociales y de salud (017)",308,,62,142,97,7
"Otras activ. serv.comun.soc y personales (018)",272,10,137,85,31,9
"Hogares privados con servicio doméstico (019)",834,40,434,174,132,54
"Actividad economica no especificada (021)",793,1,330,225,164,73
"Hombres (022)",27164,307,8098,9093,7127,2539
"Agric., ganadería, caza y silvicultura (023)",15931,217,4059,4689,4713,2253
"Pesca (024)",233,3,81,89,55,5
"Explotación de minas y canteras (025)",61,,25,26,8,2
"Industrias manufactureras (026)",669,9,273,227,124,36
"Suministro de electricidad, gas y agua (027)",19,,9,3,6,1
"Construcción (028)",1469,8,445,590,386,40
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2061,35,708,802,430,86
"Venta, mant.y rep. veh.autom.y motoc. (030)",256,5,117,88,43,3
"Comercio al por mayor (031)",71,,20,36,13,2
"Comercio al por menor (032)",1734,30,571,678,374,81
"Hoteles y restaurantes (033)",216,9,101,68,34,4
"Trans., almac. y comunicaciones (034)",3389,11,1543,1265,541,29
"Intermediación financiera (035)",34,,9,11,12,2
"Activid.inmobil., empres. y alquileres (036)",208,1,70,101,30,6
"Admin.pub. y defensa; p. segur.soc.afil (037)",814,,260,368,173,13
"Enseñanza (038)",1268,,199,607,445,17
"Servicios sociales y de salud (039)",167,,24,70,67,6
