"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJAMARCA (000)",86189,41196,44993
"Casa independiente (001)",77805,34905,42900
"Departamento en edificio (002)",1766,1766,
"Vivienda en quinta (003)",3034,3034,
"Vivienda en casa de vecindad (004)",1233,1233,
"Choza o cabaña (005)",2078,,2078
"Vivienda improvisada (006)",107,107,
"Local no dest.para hab. humana (007)",99,85,14
"Otro tipo (008)",67,66,1
