"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia JAEN (000)",64858,177317,161142,,3291,90.9,1.9
"De 12 a 14 años (001)",7152,34,33,,4,97.1,11.8
"De 15 a 19 años (002)",9502,1759,1726,430,98.1,24.4,
"De 20 a 24 años (003)",8107,7144,6975,876,97.6,12.3,
"De 25 a 29 años (004)",7088,12119,11799,746,97.4,6.2,
"De 30 a 34 años (005)",6401,16266,15783,598,97,3.7,
"De 35 a 39 años (006)",6012,20444,19529,407,95.5,2,
"De 40 a 44 años (007)",5031,21278,20089,188,94.4,0.9,
"De 45 a 49 años (008)",4083,20360,18868,42,92.7,0.2,
"De 50 y más años (009)",11482,77913,66340,,85.1,,
"Sin nivel (010)",8711,54188,45615,271,84.2,0.5,
"De 12 a 14 años (011)",75,2,2,,100,,
"De 15 a 19 años (012)",209,80,79,18,98.8,22.5,
"De 20 a 24 años (013)",306,429,412,38,96,8.9,
"De 25 a 29 años (014)",360,859,812,50,94.5,5.8,
"De 30 a 34 años (015)",409,1456,1389,40,95.4,2.7,
"De 35 a 39 años (016)",637,2836,2649,65,93.4,2.3,
"De 40 a 44 años (017)",719,3906,3628,44,92.9,1.1,
"De 45 a 49 años (018)",720,4561,4110,16,90.1,0.4,
"De 50 y más años (019)",5276,40059,32534,,81.2,,
"Educacion Inicial (020)",83,166,161,6,97,3.6,
"De 12 a 14 años (021)",8,,,,,,
"De 15 a 19 años (022)",11,3,3,,100,,
"De 20 a 24 años (023)",11,8,8,,100,,
"De 25 a 29 años (024)",20,39,39,3,100,7.7,
"De 30 a 34 años (025)",20,67,63,3,94,4.5,
"De 35 a 39 años (026)",13,49,48,,98,,
"Primaria (030)",26545,87492,80962,1544,92.5,1.8,
"De 12 a 14 años (031)",3648,18,18,4,100,22.2,
"De 15 a 19 años (032)",2356,817,798,180,97.7,22,
"De 20 a 24 años (033)",2590,3410,3314,368,97.2,10.8,
"De 25 a 29 años (034)",2816,6319,6134,369,97.1,5.8,
"De 30 a 34 años (035)",2782,8742,8430,299,96.4,3.4,
"De 35 a 39 años (036)",2832,11272,10671,202,94.7,1.8,
"De 40 a 44 años (037)",2556,12397,11629,100,93.8,0.8,
"De 45 a 49 años (038)",2155,11942,11052,22,92.5,0.2,
