"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASTROVIRREYNA (000)",18472,5542,12930
"Casa independiente (001)",16255,5161,11094
"Departamento en edificio (002)",4,4,
"Vivienda en quinta (003)",13,13,
"Vivienda en casa de vecindad (004)",145,145,
"Choza o cabaña (005)",1794,,1794
"Vivienda improvisada (006)",26,26,
"Local no dest.para hab. humana (007)",25,17,8
"Otro tipo (008)",210,176,34
