"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANTABAMBA (000)",4079,69,1016,1346,1127,521
"Agric., ganadería, caza y silvicultura (001)",2572,56,580,750,738,448
"Explotación de minas y canteras (003)",238,,110,98,29,1
"Industrias manufactureras (004)",60,,16,14,19,11
"Suministro de electricidad, gas y agua (005)",2,,,1,1,
"Construcción (006)",171,3,62,60,41,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",246,3,61,101,58,23
"Venta, mant.y rep. veh.autom.y motoc. (008)",1,,1,,,
"Comercio al por mayor (009)",11,,2,3,4,2
"Comercio al por menor (010)",234,3,58,98,54,21
"Hoteles y restaurantes (011)",40,1,15,15,9,
"Trans., almac. y comunicaciones (012)",25,,7,13,5,
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",17,,3,8,5,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",237,,63,99,69,6
"Enseñanza (016)",264,,36,120,104,4
"Servicios sociales y de salud (017)",52,,20,28,4,
"Otras activ. serv.comun.soc y personales (018)",19,4,7,4,4,
"Hogares privados con servicio doméstico (019)",23,2,10,6,3,2
"Actividad economica no especificada (021)",112,,25,29,38,20
"Hombres (022)",2650,43,654,892,732,329
"Agric., ganadería, caza y silvicultura (023)",1676,36,374,505,473,288
"Explotación de minas y canteras (025)",231,,106,96,28,1
"Industrias manufactureras (026)",33,,10,10,9,4
"Suministro de electricidad, gas y agua (027)",1,,,,1,
"Construcción (028)",157,3,58,56,35,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",86,1,18,36,21,10
"Venta, mant.y rep. veh.autom.y motoc. (030)",1,,1,,,
"Comercio al por mayor (031)",6,,1,1,3,1
"Comercio al por menor (032)",79,1,16,35,18,9
"Hoteles y restaurantes (033)",14,1,5,6,2,
"Trans., almac. y comunicaciones (034)",24,,6,13,5,
"Activid.inmobil., empres. y alquileres (036)",13,,1,7,4,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",180,,44,72,58,6
"Enseñanza (038)",155,,13,66,73,3
"Servicios sociales y de salud (039)",22,,8,10,4,
"Otras activ. serv.comun.soc y personales (040)",11,2,3,3,3,
"Hogares privados con servicio doméstico (041)",2,,1,1,,
"Actividad economica no especificada (043)",45,,7,11,16,11
"Mujeres (045)",1429,26,362,454,395,192
"Agric., ganadería, caza y silvicultura (046)",896,20,206,245,265,160
