"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PACHITEA (000)",13457,12944,62,2660,2260,1827,2760,1892,1048,435,513,50585
"De 12 a 14 años (001)",22,11,,11,,,,,,,11,11
"De 15 a 19 años (002)",726,683,10,570,93,9,1,,,,43,787
"De 20 a 24 años (003)",1967,1814,10,931,602,207,61,3,,,153,3030
"De 25 a 29 años (004)",2025,1898,10,458,605,454,326,43,2,,127,4699
"De 30 a 34 años (005)",1693,1639,6,220,342,352,496,189,31,3,54,5610
"De 35 a 39 años (006)",1578,1543,1,133,199,266,515,302,110,17,35,6659
"De 40 a 44 años (007)",1223,1203,1,76,102,138,353,303,168,62,20,6324
"De 45 a 49 años (008)",1014,998,1,61,75,96,238,242,193,92,16,5752
"De 50 y más años (009)",3209,3155,23,200,242,305,770,810,544,261,54,17713
"PEA (010)",1756,1651,10,444,301,255,324,180,101,36,105,5636
"De 12 a 14 años (011)",2,,,,,,,,,,2,
"De 15 a 19 años (012)",67,62,,60,2,,,,,,5,64
"De 20 a 24 años (013)",232,201,3,118,51,23,5,1,,,31,316
"De 25 a 29 años (014)",273,234,2,99,75,32,24,1,1,,39,463
"De 30 a 34 años (015)",240,228,,69,52,47,48,6,5,1,12,613
"De 35 a 39 años (016)",252,245,,44,49,47,69,30,6,,7,827
"De 40 a 44 años (017)",170,168,,14,19,39,47,32,10,7,2,735
"De 45 a 49 años (018)",156,154,,14,22,26,46,25,14,7,2,693
"De 50 y más años (019)",364,359,5,26,31,41,85,85,65,21,5,1925
"Ocupada (020)",1615,1546,10,400,281,244,300,175,100,36,69,5370
"De 12 a 14 años (021)",2,,,,,,,,,,2,
"De 15 a 19 años (022)",58,55,,53,2,,,,,,3,57
