"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PARINACOCHAS (000)",12381,5527,6854
"Casa independiente (001)",10713,5289,5424
"Vivienda en quinta (003)",29,29,
"Vivienda en casa de vecindad (004)",90,90,
"Choza o cabaña (005)",1417,,1417
"Vivienda improvisada (006)",112,112,
"Local no dest.para hab. humana (007)",10,7,3
"Otro tipo (008)",10,,10
