"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",14153,43647,39405,,1608,90.3,3.7
"De 12 a 14 años (001)",2020,21,21,,5,100,23.8
"De 15 a 19 años (002)",2704,1246,1218,289,97.8,23.2,
"De 20 a 24 años (003)",2081,3989,3833,430,96.1,10.8,
"De 25 a 29 años (004)",1781,5689,5416,364,95.2,6.4,
"De 30 a 34 años (005)",1278,5719,5343,228,93.4,4,
"De 35 a 39 años (006)",1297,7204,6657,218,92.4,3,
"De 40 a 44 años (007)",786,4824,4355,57,90.3,1.2,
"De 45 a 49 años (008)",687,4603,4046,17,87.9,0.4,
"De 50 y más años (009)",1519,10352,8516,,82.3,,
"PEA (010)",5833,20264,18637,735,92,3.6,
"De 12 a 14 años (011)",254,7,7,1,100,14.3,
"De 15 a 19 años (012)",910,509,499,101,98,19.8,
"De 20 a 24 años (013)",1027,2005,1925,204,96,10.2,
"De 25 a 29 años (014)",903,2868,2748,172,95.8,6,
"De 30 a 34 años (015)",633,2776,2622,112,94.5,4,
"De 35 a 39 años (016)",667,3590,3361,104,93.6,2.9,
"De 40 a 44 años (017)",429,2400,2181,33,90.9,1.4,
"De 45 a 49 años (018)",349,2118,1917,8,90.5,0.4,
"De 50 y más años (019)",661,3991,3377,,84.6,,
"Ocupada (020)",5782,20155,18534,730,92,3.6,
"De 12 a 14 años (021)",247,7,7,,100,,
"De 15 a 19 años (022)",898,505,495,100,98,19.8,
"De 20 a 24 años (023)",1012,1985,1905,203,96,10.2,
"De 25 a 29 años (024)",895,2847,2728,170,95.8,6,
"De 30 a 34 años (025)",630,2766,2612,112,94.4,4,
"De 35 a 39 años (026)",666,3584,3355,104,93.6,2.9,
"De 40 a 44 años (027)",428,2396,2177,33,90.9,1.4,
"De 45 a 49 años (028)",348,2103,1903,8,90.5,0.4,
"De 50 y más años (029)",658,3962,3352,,84.6,,
"Desocupada (030)",51,109,103,5,94.5,4.6,
"De 12 a 14 años (031)",7,,,1,,,
"De 15 a 19 años (032)",12,4,4,1,100,25,
"De 20 a 24 años (033)",15,20,20,1,100,5,
"De 25 a 29 años (034)",8,21,20,2,95.2,9.5,
"De 30 a 34 años (035)",3,10,10,,100,,
"De 35 a 39 años (036)",1,6,6,,100,,
