"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia AYABACA (000)",35768,2895,2980,22157,263,7078,395
"Sin nivel (001)",5165,34,300,3812,25,927,67
"Educación inicial (002)",26,2,2,11,,8,3
"Primaria (003)",20350,177,1551,14059,146,4207,210
"Secundaria (004)",6452,454,894,3228,61,1726,89
"Superior no univ. incompleta (005)",746,258,70,311,8,83,16
"Superior no univ. completa (006)",1799,1167,101,435,11,79,6
"Superior univ. incompleta (007)",315,165,22,102,2,22,2
"Superior univ. completa (008)",915,638,40,199,10,26,2
"Hombres (010)",30891,1504,2787,20284,234,6065,17
"Sin nivel (011)",4311,11,265,3382,21,629,3
"Educación inicial (012)",19,,1,10,,8,
"Primaria (013)",18586,83,1451,13202,138,3700,12
"Secundaria (014)",5644,272,853,2888,52,1578,1
"Superior no univ. incompleta (015)",512,134,65,246,6,61,
"Superior no univ. completa (016)",1044,579,94,312,5,54,
"Superior univ. incompleta (017)",212,90,20,82,2,18,
"Superior univ. completa (018)",563,335,38,162,10,17,1
"Mujeres (020)",4877,1391,193,1873,29,1013,378
"Sin nivel (021)",854,23,35,430,4,298,64
"Educación inicial (022)",7,2,1,1,,,3
"Primaria (023)",1764,94,100,857,8,507,198
"Secundaria (024)",808,182,41,340,9,148,88
"Superior no univ. incompleta (025)",234,124,5,65,2,22,16
"Superior no univ. completa (026)",755,588,7,123,6,25,6
"Superior univ. incompleta (027)",103,75,2,20,,4,2
"Superior univ. completa (028)",352,303,2,37,,9,1
,,,,,,,
"URBANA (030)",5694,1909,624,2494,57,435,175
"Sin nivel (031)",263,15,34,159,3,31,21
"Educación inicial (032)",5,2,2,,,,1
"Primaria (033)",1316,97,178,804,17,134,86
"Secundaria (034)",1586,301,242,810,18,166,49
"Superior no univ. incompleta (035)",469,173,47,195,6,38,10
"Superior no univ. completa (036)",1165,738,66,308,9,39,5
"Superior univ. incompleta (037)",220,119,19,71,1,9,1
"Superior univ. completa (038)",670,464,36,147,3,18,2
"Hombres (040)",3660,1018,578,1778,39,241,6
"Sin nivel (041)",155,8,30,100,2,15,
"Educación inicial (042)",1,,1,,,,
"Primaria (043)",845,42,161,558,12,68,4
"Secundaria (044)",1147,186,232,608,13,107,1
"Superior no univ. incompleta (045)",301,98,43,137,4,19,
"Superior no univ. completa (046)",649,362,60,205,4,18,
"Superior univ. incompleta (047)",147,69,17,55,1,5,
"Superior univ. completa (048)",415,253,34,115,3,9,1
"Mujeres (050)",2034,891,46,716,18,194,169
"Sin nivel (051)",108,7,4,59,1,16,21
"Educación inicial (052)",4,2,1,,,,1
"Primaria (053)",471,55,17,246,5,66,82
"Secundaria (054)",439,115,10,202,5,59,48
"Superior no univ. incompleta (055)",168,75,4,58,2,19,10
"Superior no univ. completa (056)",516,376,6,103,5,21,5
"Superior univ. incompleta (057)",73,50,2,16,,4,1
"Superior univ. completa (058)",255,211,2,32,,9,1
,,,,,,,
"RURAL (060)",30074,986,2356,19663,206,6643,220
"Sin nivel (061)",4902,19,266,3653,22,896,46
"Educación inicial (062)",21,,,11,,8,2
"Primaria (063)",19034,80,1373,13255,129,4073,124
"Secundaria (064)",4866,153,652,2418,43,1560,40
"Superior no univ. incompleta (065)",277,85,23,116,2,45,6
"Superior no univ. completa (066)",634,429,35,127,2,40,1
"Superior univ. incompleta (067)",95,46,3,31,1,13,1
"Superior univ. completa (068)",245,174,4,52,7,8,
"Hombres (070)",27231,486,2209,18506,195,5824,11
"Sin nivel (071)",4156,3,235,3282,19,614,3
"Educación inicial (072)",18,,,10,,8,
"Primaria (073)",17741,41,1290,12644,126,3632,8
"Secundaria (074)",4497,86,621,2280,39,1471,
"Superior no univ. incompleta (075)",211,36,22,109,2,42,
"Superior no univ. completa (076)",395,217,34,107,1,36,
"Superior univ. incompleta (077)",65,21,3,27,1,13,
"Superior univ. completa (078)",148,82,4,47,7,8,
"Mujeres (080)",2843,500,147,1157,11,819,209
"Sin nivel (081)",746,16,31,371,3,282,43
"Educación inicial (082)",3,,,1,,,2
"Primaria (083)",1293,39,83,611,3,441,116
"Secundaria (084)",369,67,31,138,4,89,40
"Superior no univ. incompleta (085)",66,49,1,7,,3,6
"Superior no univ. completa (086)",239,212,1,20,1,4,1
"Superior univ. incompleta (087)",30,25,,4,,,1
"Superior univ. completa (088)",97,92,,5,,,
