"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAROWILCA (000)",9610,8758,426,152,274
"Hombres (001)",6362,5734,323,108,197
"Mujeres (002)",3248,3024,103,44,77
"De 06 a 14 años (003)",586,570,14,1,1
"Hombres (004)",327,320,5,1,1
"Mujeres (005)",259,250,9,,
"De 15 a 29 años (006)",2658,2420,132,33,73
"Hombres (007)",1728,1551,102,26,49
"Mujeres (008)",930,869,30,7,24
"De 30 a 44 años (009)",2895,2502,191,66,136
"Hombres (010)",1932,1644,143,42,103
"Mujeres (011)",963,858,48,24,33
"De 45 a 64 años (012)",2479,2288,79,50,62
"Hombres (013)",1668,1522,65,38,43
"Mujeres (014)",811,766,14,12,19
"De 65 y más años (015)",992,978,10,2,2
"Hombres (016)",707,697,8,1,1
"Mujeres (017)",285,281,2,1,1
,,,,,
"URBANA (018)",2373,1922,174,107,170
"Hombres (019)",1571,1247,132,73,119
"Mujeres (020)",802,675,42,34,51
"De 06 a 14 años (021)",48,48,,,
"Hombres (022)",34,34,,,
"Mujeres (023)",14,14,,,
"De 15 a 29 años (024)",702,575,55,21,51
"Hombres (025)",458,364,44,17,33
"Mujeres (026)",244,211,11,4,18
"De 30 a 44 años (027)",838,620,87,49,82
"Hombres (028)",544,391,62,29,62
"Mujeres (029)",294,229,25,20,20
"De 45 a 64 años (030)",583,483,28,36,36
"Hombres (031)",395,323,23,26,23
"Mujeres (032)",188,160,5,10,13
"De 65 y más años (033)",202,196,4,1,1
"Hombres (034)",140,135,3,1,1
"Mujeres (035)",62,61,1,,
,,,,,
"RURAL (036)",7237,6836,252,45,104
"Hombres (037)",4791,4487,191,35,78
"Mujeres (038)",2446,2349,61,10,26
"De 06 a 14 años (039)",538,522,14,1,1
"Hombres (040)",293,286,5,1,1
"Mujeres (041)",245,236,9,,
"De 15 a 29 años (042)",1956,1845,77,12,22
"Hombres (043)",1270,1187,58,9,16
"Mujeres (044)",686,658,19,3,6
"De 30 a 44 años (045)",2057,1882,104,17,54
"Hombres (046)",1388,1253,81,13,41
"Mujeres (047)",669,629,23,4,13
"De 45 a 64 años (048)",1896,1805,51,14,26
"Hombres (049)",1273,1199,42,12,20
"Mujeres (050)",623,606,9,2,6
"De 65 y más años (051)",790,782,6,1,1
"Hombres (052)",567,562,5,,
"Mujeres (053)",223,220,1,1,1
