"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ICA (000)",317159,290530,26629
"Casa independiente (001)",281423,258311,23112
"Departamento en edificio (002)",4968,4968,
"Vivienda en quinta (003)",3538,3538,
"Vivienda en casa de vecindad (004)",2576,2576,
"Choza o cabaña (005)",3452,,3452
"Vivienda improvisada (006)",19551,19551,
"Local no dest.para hab. humana (007)",374,336,38
"Otro tipo (008)",1277,1250,27
