"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN MIGUEL (000)",53034,2205,5523,6645,5317,8146,7611,12135,5452
"Sabe leer y escribir (001)",43302,,4242,6572,5186,7735,6966,9592,3009
"No sabe leer y escribir (002)",9732,2205,1281,73,131,411,645,2543,2443
"Hombres (004)",26156,1117,2792,3442,2801,3984,3623,5749,2648
"Sabe leer y escribir (005)",23188,,2139,3408,2749,3848,3490,5393,2161
"No sabe leer y escribir (006)",2968,1117,653,34,52,136,133,356,487
"Mujeres (008)",26878,1088,2731,3203,2516,4162,3988,6386,2804
"Sabe leer y escribir (009)",20114,,2103,3164,2437,3887,3476,4199,848
"No sabe leer y escribir (010)",6764,1088,628,39,79,275,512,2187,1956
,,,,,,,,,
"URBANA (012)",8625,336,824,936,824,1284,1416,2168,837
"Sabe leer y escribir (013)",7571,,648,928,818,1237,1367,1969,604
"No sabe leer y escribir (014)",1054,336,176,8,6,47,49,199,233
"Hombres (016)",4315,182,411,480,463,611,662,1097,409
"Sabe leer y escribir (017)",3930,,324,475,463,589,650,1064,365
"No sabe leer y escribir (018)",385,182,87,5,,22,12,33,44
"Mujeres (020)",4310,154,413,456,361,673,754,1071,428
"Sabe leer y escribir (021)",3641,,324,453,355,648,717,905,239
"No sabe leer y escribir (022)",669,154,89,3,6,25,37,166,189
,,,,,,,,,
"RURAL (024)",44409,1869,4699,5709,4493,6862,6195,9967,4615
"Sabe leer y escribir (025)",35731,,3594,5644,4368,6498,5599,7623,2405
"No sabe leer y escribir (026)",8678,1869,1105,65,125,364,596,2344,2210
"Hombres (028)",21841,935,2381,2962,2338,3373,2961,4652,2239
"Sabe leer y escribir (029)",19258,,1815,2933,2286,3259,2840,4329,1796
"No sabe leer y escribir (030)",2583,935,566,29,52,114,121,323,443
"Mujeres (032)",22568,934,2318,2747,2155,3489,3234,5315,2376
"Sabe leer y escribir (033)",16473,,1779,2711,2082,3239,2759,3294,609
"No sabe leer y escribir (034)",6095,934,539,36,73,250,475,2021,1767
