"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUALGAYOC (000)",850,274,576
"Sin nivel (001)",54,9,45
"Primaria (003)",309,82,227
"Secundaria (004)",301,126,175
"Superior no univ. incompleta (005)",33,11,22
"Superior no univ. completa (006)",104,32,72
"Superior univ. incompleta (007)",13,6,7
"Superior univ. completa (008)",36,8,28
"Hombres (010)",647,190,457
"Sin nivel (011)",30,2,28
"Primaria (013)",240,48,192
"Secundaria (014)",243,98,145
"Superior no univ. incompleta (015)",25,8,17
"Superior no univ. completa (016)",79,25,54
"Superior univ. incompleta (017)",10,4,6
"Superior univ. completa (018)",20,5,15
"Mujeres (020)",203,84,119
"Sin nivel (021)",24,7,17
"Primaria (023)",69,34,35
"Secundaria (024)",58,28,30
"Superior no univ. incompleta (025)",8,3,5
"Superior no univ. completa (026)",25,7,18
"Superior univ. incompleta (027)",3,2,1
"Superior univ. completa (028)",16,3,13
,,,
"AREA URBANA (030)",663,164,499
"Sin nivel (031)",41,6,35
"Primaria (033)",220,34,186
"Secundaria (034)",227,75,152
"Superior no univ. incompleta (035)",30,9,21
"Superior no univ. completa (036)",97,27,70
"Superior univ. incompleta (037)",12,5,7
"Superior univ. completa (038)",36,8,28
"Hombres (040)",506,111,395
"Sin nivel (041)",23,1,22
"Primaria (043)",175,19,156
"Secundaria (044)",183,55,128
"Superior no univ. incompleta (045)",22,6,16
"Superior no univ. completa (046)",73,21,52
"Superior univ. incompleta (047)",10,4,6
"Superior univ. completa (048)",20,5,15
"Mujeres (050)",157,53,104
"Sin nivel (051)",18,5,13
"Primaria (053)",45,15,30
"Secundaria (054)",44,20,24
"Superior no univ. incompleta (055)",8,3,5
"Superior no univ. completa (056)",24,6,18
"Superior univ. incompleta (057)",2,1,1
"Superior univ. completa (058)",16,3,13
,,,
"AREA RURAL (060)",187,110,77
"Sin nivel (061)",13,3,10
"Primaria (063)",89,48,41
"Secundaria (064)",74,51,23
"Superior no univ. incompleta (065)",3,2,1
"Superior no univ. completa (066)",7,5,2
"Superior univ. incompleta (067)",1,1,
"Hombres (070)",141,79,62
"Sin nivel (071)",7,1,6
"Primaria (073)",65,29,36
"Secundaria (074)",60,43,17
"Superior no univ. incompleta (075)",3,2,1
"Superior no univ. completa (076)",6,4,2
"Mujeres (080)",46,31,15
"Sin nivel (081)",6,2,4
"Primaria (083)",24,19,5
"Secundaria (084)",14,8,6
"Superior no univ. completa (086)",1,1,
"Superior univ. incompleta (087)",1,1,
