"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TARMA (000)",30303,29062,192,6301,6527,4747,6062,3331,1466,436,1241,98729
"De 12 a 14 años (001)",23,12,1,10,1,,,,,,11,12
"De 15 a 19 años (002)",650,597,17,520,49,8,3,,,,53,654
"De 20 a 24 años (003)",2644,2272,23,1463,625,135,23,3,,,372,3234
"De 25 a 29 años (004)",3408,3087,22,1265,1138,479,170,10,3,,321,5783
"De 30 a 34 años (005)",3446,3300,15,846,1164,740,457,67,8,3,146,7854
"De 35 a 39 años (006)",3779,3685,14,652,1141,824,779,227,43,5,94,10621
"De 40 a 44 años (007)",3242,3168,15,406,723,665,905,331,104,19,74,11068
"De 45 a 49 años (008)",2743,2695,14,280,492,492,783,416,166,52,48,10817
"De 50 y más años (009)",10368,10246,71,859,1194,1404,2942,2277,1142,357,122,48686
"Conviviente (010)",10460,10325,67,2940,2937,1792,1709,626,205,49,135,27895
"De 12 a 14 años (011)",12,6,1,5,,,,,,,6,5
"De 15 a 19 años (012)",428,389,12,332,38,5,2,,,,39,431
"De 20 a 24 años (013)",1629,1593,17,959,493,105,16,3,,,36,2344
"De 25 a 29 años (014)",2031,2007,14,749,769,352,115,8,,,24,3877
"De 30 a 34 años (015)",1864,1855,1,411,665,455,279,39,3,2,9,4577
"De 35 a 39 años (016)",1694,1686,4,218,506,412,397,127,21,1,8,5169
"De 40 a 44 años (017)",1071,1068,1,116,227,207,362,113,36,6,3,3894
"De 45 a 49 años (018)",726,723,6,54,118,136,239,113,48,9,3,2980
"De 50 y más años (019)",1005,998,11,96,121,120,299,223,97,31,7,4618
"Separado(a) (020)",1907,1882,19,654,501,257,270,128,43,10,25,4909
"De 12 a 14 años (021)",2,,,,,,,,,,2,
