"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia ASUNCION (000)",5520,2730,28,28,2615,57,,7,,55
"Hombres (001)",2008,1431,19,7,496,24,,5,,26
"Mujeres (002)",3512,1299,9,21,2119,33,,2,,29
"De 06 a 14 años (003)",2033,1982,,,35,11,,1,,4
"Hombres (004)",1039,1019,,,12,6,,1,,1
"Mujeres (005)",994,963,,,23,5,,,,3
"De 15 a 29 años (006)",1336,735,,3,583,,,1,,14
"Hombres (007)",516,405,,1,102,,,1,,7
"Mujeres (008)",820,330,,2,481,,,,,7
"De 30 a 44 años (009)",686,7,,7,655,,,1,,16
"Hombres (010)",99,5,,,87,,,,,7
"Mujeres (011)",587,2,,7,568,,,1,,9
"De 45 a 64 años (012)",775,6,6,11,744,,,1,,7
"Hombres (013)",149,2,4,1,136,,,1,,5
"Mujeres (014)",626,4,2,10,608,,,,,2
"De 65 y más años (015)",690,,22,7,598,46,,3,,14
"Hombres (016)",205,,15,5,159,18,,2,,6
"Mujeres (017)",485,,7,2,439,28,,1,,8
,,,,,,,,,,
"AREA URBANA (018)",1095,638,20,10,380,17,,3,,27
"Hombres (019)",435,346,13,3,53,6,,2,,12
"Mujeres (020)",660,292,7,7,327,11,,1,,15
"De 06 a 14 años (021)",500,497,,,,3,,,,
"Hombres (022)",267,265,,,,2,,,,
"Mujeres (023)",233,232,,,,1,,,,
"De 15 a 29 años (024)",259,138,,,112,,,1,,8
"Hombres (025)",95,78,,,12,,,1,,4
"Mujeres (026)",164,60,,,100,,,,,4
"De 30 a 44 años (027)",148,2,,4,132,,,,,10
"Hombres (028)",22,2,,,16,,,,,4
"Mujeres (029)",126,,,4,116,,,,,6
"De 45 a 64 años (030)",86,1,5,3,75,,,,,2
"Hombres (031)",19,1,4,1,12,,,,,1
"Mujeres (032)",67,,1,2,63,,,,,1
"De 65 y más años (033)",102,,15,3,61,14,,2,,7
"Hombres (034)",32,,9,2,13,4,,1,,3
"Mujeres (035)",70,,6,1,48,10,,1,,4
,,,,,,,,,,
"AREA RURAL (036)",4425,2092,8,18,2235,40,,4,,28
"Hombres (037)",1573,1085,6,4,443,18,,3,,14
"Mujeres (038)",2852,1007,2,14,1792,22,,1,,14
"De 06 a 14 años (039)",1533,1485,,,35,8,,1,,4
"Hombres (040)",772,754,,,12,4,,1,,1
"Mujeres (041)",761,731,,,23,4,,,,3
"De 15 a 29 años (042)",1077,597,,3,471,,,,,6
"Hombres (043)",421,327,,1,90,,,,,3
"Mujeres (044)",656,270,,2,381,,,,,3
"De 30 a 44 años (045)",538,5,,3,523,,,1,,6
"Hombres (046)",77,3,,,71,,,,,3
"Mujeres (047)",461,2,,3,452,,,1,,3
"De 45 a 64 años (048)",689,5,1,8,669,,,1,,5
"Hombres (049)",130,1,,,124,,,1,,4
"Mujeres (050)",559,4,1,8,545,,,,,1
"De 65 y más años (051)",588,,7,4,537,32,,1,,7
"Hombres (052)",173,,6,3,146,14,,1,,3
"Mujeres (053)",415,,1,1,391,18,,,,4
