"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PALLASCA (000)",7928,693,8,3155,2184,344,501,284,759
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",48,1,,7,6,5,5,5,19
"Profes., científicos e intelectuales (002)",743,,,,9,43,154,64,473
"Técnicos de nivel medio ytrab.asimilados (003)",157,1,,6,26,32,60,10,22
"Jefes y empleados de oficina (004)",216,,,5,82,21,39,30,39
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",527,37,,199,176,30,30,29,26
"Agricult.trabaj. calif.agrop. y pesquros (006)",2434,300,1,1333,578,57,50,44,71
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",672,23,,240,276,38,47,23,25
"Obreros. construc., conf., papel, fab., instr (008)",457,22,,152,190,29,23,27,14
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",2440,256,7,1132,787,82,67,47,62
"Otra (010)",18,,,,4,,10,3,1
"Ocupación no especificada (011)",216,53,,81,50,7,16,2,7
"Hombres (012)",6296,444,7,2650,1855,282,344,224,490
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",37,,,7,3,2,3,3,19
"Profes., científicos e intelectuales (014)",394,,,,6,27,76,39,246
"Técnicos de nivel medio ytrab.asimilados (015)",113,,,5,20,25,38,7,18
"Jefes y empleados de oficina (016)",143,,,3,51,17,23,17,32
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",196,9,,63,69,18,9,17,11
"Agricult.trabaj. calif.agrop. y pesquros (018)",2296,246,1,1275,559,54,48,43,70
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",624,16,,222,260,38,45,22,21
"Obreros. construc., conf., papel, fab., instr (020)",448,19,,149,188,29,23,27,13
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1966,151,6,896,684,71,60,44,54
"Otra (022)",18,,,,4,,10,3,1
"Ocupación no especificada (023)",61,3,,30,11,1,9,2,5
"Mujeres (024)",1632,249,1,505,329,62,157,60,269
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",11,1,,,3,3,2,2,
"Profes., científicos e intelectuales (026)",349,,,,3,16,78,25,227
"Técnicos de nivel medio ytrab.asimilados (027)",44,1,,1,6,7,22,3,4
"Jefes y empleados de oficina (028)",73,,,2,31,4,16,13,7
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",331,28,,136,107,12,21,12,15
"Agricult.trabaj. calif.agrop. y pesquros (030)",138,54,,58,19,3,2,1,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",48,7,,18,16,,2,1,4
"Obreros. construc., conf., papel, fab., instr (032)",9,3,,3,2,,,,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",474,105,1,236,103,11,7,3,8
"Ocupación no especificada (035)",155,50,,51,39,6,7,,2
,,,,,,,,,
"URBANA (036)",4358,300,2,1406,1280,245,368,224,533
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",40,1,,6,5,4,3,5,16
"Profes., científicos e intelectuales (038)",524,,,,4,23,105,49,343
