"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHINCHEROS (000)",12894,88,286,677,1260,2517,5040,3026
"De 12 a 14 años (001)",20,,,,,,,20
"De 15 a 19 años (002)",360,,,,,,230,130
"De 20 a 24 años (003)",1276,,,,,1,842,433
"De 25 a 29 años (004)",1459,,,,,56,1047,356
"De 30 a 34 años (005)",1518,,,,,203,1022,293
"De 35 a 39 años (006)",1501,,,,8,412,892,189
"De 40 a 44 años (007)",1267,,,1,31,470,604,161
"De 45 a 49 años (008)",1084,,,,94,514,329,147
"De 50 y más años (009)",4409,88,286,676,1127,861,74,1297
"Sin nivel (010)",4795,76,251,565,844,937,788,1334
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",6,,,,,,3,3
"De 20 a 24 años (013)",44,,,,,,27,17
"De 25 a 29 años (014)",83,,,,,2,55,26
"De 30 a 34 años (015)",183,,,,,22,125,36
"De 35 a 39 años (016)",320,,,,,86,193,41
"De 40 a 44 años (017)",398,,,,4,126,197,71
"De 45 a 49 años (018)",431,,,,27,189,146,69
"De 50 y más años (019)",3329,76,251,565,813,512,42,1070
"Educacion Inicial (020)",35,,,,,7,15,13
"De 15 a 19 años (022)",3,,,,,,1,2
"De 20 a 24 años (023)",6,,,,,,3,3
"De 25 a 29 años (024)",10,,,,,1,4,5
"De 30 a 34 años (025)",9,,,,,2,4,3
"De 35 a 39 años (026)",7,,,,,4,3,
"Primaria (030)",4777,12,29,98,336,1139,2352,811
"De 12 a 14 años (031)",13,,,,,,,13
"De 15 a 19 años (032)",127,,,,,,78,49
"De 20 a 24 años (033)",450,,,,,,326,124
"De 25 a 29 años (034)",656,,,,,32,498,126
"De 30 a 34 años (035)",719,,,,,109,496,114
"De 35 a 39 años (036)",802,,,,6,229,474,93
"De 40 a 44 años (037)",628,,,1,22,239,309,57
"De 45 a 49 años (038)",473,,,,45,233,145,50
"De 50 y más años (039)",909,12,29,97,263,297,26,185
"Secundaria (040)",2364,,5,10,50,263,1453,583
"De 12 a 14 años (041)",6,,,,,,,6
"De 15 a 19 años (042)",219,,,,,,145,74
"De 20 a 24 años (043)",670,,,,,1,436,233
"De 25 a 29 años (044)",521,,,,,11,389,121
"De 30 a 34 años (045)",378,,,,,49,264,65
"De 35 a 39 años (046)",224,,,,2,60,136,26
"De 40 a 44 años (047)",127,,,,2,56,53,16
"De 45 a 49 años (048)",104,,,,15,53,24,12
"De 50 y más años (049)",115,,5,10,31,33,6,30
"Sup. no Univ. incompleta (050)",178,,,1,1,29,92,55
"De 15 a 19 años (052)",5,,,,,,3,2
