"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia VIRU (000)",70849,3573,7613,8490,8314,16876,10415,12280,3288
"Sabe leer y escribir (001)",60967,,5726,8280,8119,16324,9834,10542,2142
"No sabe leer y escribir (002)",9882,3573,1887,210,195,552,581,1738,1146
"Hombres (004)",36740,1776,3894,4316,4229,8959,5438,6348,1780
"Sabe leer y escribir (005)",32780,,2908,4208,4152,8794,5270,5990,1458
"No sabe leer y escribir (006)",3960,1776,986,108,77,165,168,358,322
"Mujeres (008)",34109,1797,3719,4174,4085,7917,4977,5932,1508
"Sabe leer y escribir (009)",28187,,2818,4072,3967,7530,4564,4552,684
"No sabe leer y escribir (010)",5922,1797,901,102,118,387,413,1380,824
,,,,,,,,,
"URBANA (012)",54437,2750,5930,6455,6441,13763,8199,8862,2037
"Sabe leer y escribir (013)",47340,,4482,6315,6306,13386,7784,7698,1369
"No sabe leer y escribir (014)",7097,2750,1448,140,135,377,415,1164,668
"Hombres (016)",27950,1365,3027,3247,3220,7261,4274,4482,1074
"Sabe leer y escribir (017)",25095,,2268,3166,3170,7154,4163,4268,906
"No sabe leer y escribir (018)",2855,1365,759,81,50,107,111,214,168
"Mujeres (020)",26487,1385,2903,3208,3221,6502,3925,4380,963
"Sabe leer y escribir (021)",22245,,2214,3149,3136,6232,3621,3430,463
"No sabe leer y escribir (022)",4242,1385,689,59,85,270,304,950,500
,,,,,,,,,
"RURAL (024)",16412,823,1683,2035,1873,3113,2216,3418,1251
"Sabe leer y escribir (025)",13627,,1244,1965,1813,2938,2050,2844,773
"No sabe leer y escribir (026)",2785,823,439,70,60,175,166,574,478
"Hombres (028)",8790,411,867,1069,1009,1698,1164,1866,706
"Sabe leer y escribir (029)",7685,,640,1042,982,1640,1107,1722,552
"No sabe leer y escribir (030)",1105,411,227,27,27,58,57,144,154
"Mujeres (032)",7622,412,816,966,864,1415,1052,1552,545
"Sabe leer y escribir (033)",5942,,604,923,831,1298,943,1122,221
"No sabe leer y escribir (034)",1680,412,212,43,33,117,109,430,324
