"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia TUMBES (000)",69877,32336,1272,697,31669,953,18,129,1121,1682
"Hombres (001)",25115,15964,858,320,5274,454,10,82,1112,1041
"Mujeres (002)",44762,16372,414,377,26395,499,8,47,9,641
"De 06 a 14 años (003)",24284,22828,,,928,251,,10,,267
"Hombres (004)",12260,11560,,,425,123,,5,,147
"Mujeres (005)",12024,11268,,,503,128,,5,,120
"De 15 a 29 años (006)",22172,9136,29,189,11035,,8,40,1119,616
"Hombres (007)",7754,4283,13,70,1869,,5,23,1111,380
"Mujeres (008)",14418,4853,16,119,9166,,3,17,8,236
"De 30 a 44 años (009)",10069,264,48,162,9254,,5,25,2,309
"Hombres (010)",1407,85,23,66,1016,,2,17,1,197
"Mujeres (011)",8662,179,25,96,8238,,3,8,1,112
"De 45 a 64 años (012)",8179,91,456,176,7171,3,5,19,,258
"Hombres (013)",1661,30,277,84,1087,2,3,11,,167
"Mujeres (014)",6518,61,179,92,6084,1,2,8,,91
"De 65 y más años (015)",5173,17,739,170,3281,699,,35,,232
"Hombres (016)",2033,6,545,100,877,329,,26,,150
"Mujeres (017)",3140,11,194,70,2404,370,,9,,82
,,,,,,,,,,
"AREA URBANA (018)",64012,29732,1249,652,28632,891,18,112,1121,1605
"Hombres (019)",23363,14715,837,288,4931,416,10,71,1112,983
"Mujeres (020)",40649,15017,412,364,23701,475,8,41,9,622
"De 06 a 14 años (021)",22445,21048,,,890,242,,8,,257
"Hombres (022)",11368,10691,,,414,118,,4,,141
"Mujeres (023)",11077,10357,,,476,124,,4,,116
"De 15 a 29 años (024)",20432,8345,29,185,10113,,8,36,1119,597
"Hombres (025)",7281,3912,13,67,1787,,5,21,1111,365
"Mujeres (026)",13151,4433,16,118,8326,,3,15,8,232
"De 30 a 44 años (027)",9100,243,47,150,8327,,5,23,2,303
"Hombres (028)",1317,79,23,60,943,,2,16,1,193
"Mujeres (029)",7783,164,24,90,7384,,3,7,1,110
"De 45 a 64 años (030)",7376,84,448,157,6422,3,5,17,,240
"Hombres (031)",1542,29,270,69,1006,2,3,9,,154
"Mujeres (032)",5834,55,178,88,5416,1,2,8,,86
"De 65 y más años (033)",4659,12,725,160,2880,646,,28,,208
"Hombres (034)",1855,4,531,92,781,296,,21,,130
"Mujeres (035)",2804,8,194,68,2099,350,,7,,78
,,,,,,,,,,
"AREA RURAL (036)",5865,2604,23,45,3037,62,,17,,77
"Hombres (037)",1752,1249,21,32,343,38,,11,,58
"Mujeres (038)",4113,1355,2,13,2694,24,,6,,19
"De 06 a 14 años (039)",1839,1780,,,38,9,,2,,10
"Hombres (040)",892,869,,,11,5,,1,,6
"Mujeres (041)",947,911,,,27,4,,1,,4
"De 15 a 29 años (042)",1740,791,,4,922,,,4,,19
"Hombres (043)",473,371,,3,82,,,2,,15
"Mujeres (044)",1267,420,,1,840,,,2,,4
"De 30 a 44 años (045)",969,21,1,12,927,,,2,,6
"Hombres (046)",90,6,,6,73,,,1,,4
"Mujeres (047)",879,15,1,6,854,,,1,,2
"De 45 a 64 años (048)",803,7,8,19,749,,,2,,18
"Hombres (049)",119,1,7,15,81,,,2,,13
"Mujeres (050)",684,6,1,4,668,,,,,5
"De 65 y más años (051)",514,5,14,10,401,53,,7,,24
"Hombres (052)",178,2,14,8,96,33,,5,,20
"Mujeres (053)",336,3,,2,305,20,,2,,4
