"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUALLAGA (000)",22807,1209,2624,2924,2365,3885,3382,4986,1432
"Sabe leer y escribir (001)",19545,,1754,2873,2315,3730,3183,4482,1208
"No sabe leer y escribir (002)",3262,1209,870,51,50,155,199,504,224
"Hombres (004)",12114,624,1391,1501,1230,2045,1778,2811,734
"Sabe leer y escribir (005)",10618,,918,1471,1206,1990,1712,2665,656
"No sabe leer y escribir (006)",1496,624,473,30,24,55,66,146,78
"Mujeres (008)",10693,585,1233,1423,1135,1840,1604,2175,698
"Sabe leer y escribir (009)",8927,,836,1402,1109,1740,1471,1817,552
"No sabe leer y escribir (010)",1766,585,397,21,26,100,133,358,146
,,,,,,,,,
"URBANA (012)",12604,524,1153,1601,1317,1752,1938,3255,1064
"Sabe leer y escribir (013)",11396,,858,1584,1297,1723,1882,3087,965
"No sabe leer y escribir (014)",1208,524,295,17,20,29,56,168,99
"Hombres (016)",6461,264,626,785,675,880,945,1768,518
"Sabe leer y escribir (017)",5904,,466,774,665,868,926,1714,491
"No sabe leer y escribir (018)",557,264,160,11,10,12,19,54,27
"Mujeres (020)",6143,260,527,816,642,872,993,1487,546
"Sabe leer y escribir (021)",5492,,392,810,632,855,956,1373,474
"No sabe leer y escribir (022)",651,260,135,6,10,17,37,114,72
,,,,,,,,,
"RURAL (024)",10203,685,1471,1323,1048,2133,1444,1731,368
"Sabe leer y escribir (025)",8149,,896,1289,1018,2007,1301,1395,243
"No sabe leer y escribir (026)",2054,685,575,34,30,126,143,336,125
"Hombres (028)",5653,360,765,716,555,1165,833,1043,216
"Sabe leer y escribir (029)",4714,,452,697,541,1122,786,951,165
"No sabe leer y escribir (030)",939,360,313,19,14,43,47,92,51
"Mujeres (032)",4550,325,706,607,493,968,611,688,152
"Sabe leer y escribir (033)",3435,,444,592,477,885,515,444,78
"No sabe leer y escribir (034)",1115,325,262,15,16,83,96,244,74
