"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHURCAMPA (000)",15498,14943,4391,1534,1516,1340,2303,1806,1130,923,555,50413
"De 12 a 14 años (001)",1949,1941,1935,5,1,,,,,,8,7
"De 15 a 19 años (002)",2016,1975,1612,294,58,6,5,,,,41,448
"De 20 a 24 años (003)",1608,1412,340,495,383,142,47,5,,,196,1916
"De 25 a 29 años (004)",1417,1286,115,238,328,296,256,46,7,,131,3218
"De 30 a 34 años (005)",1322,1273,75,144,240,239,383,161,29,2,49,4294
"De 35 a 39 años (006)",1264,1215,33,78,152,182,373,281,86,30,49,5435
"De 40 a 44 años (007)",1130,1105,35,53,76,107,265,275,194,100,25,6246
"De 45 a 49 años (008)",1007,996,23,50,67,79,220,238,172,147,11,6043
"De 50 y más años (009)",3785,3740,223,177,211,289,754,800,642,644,45,22806
"Sin nivel (010)",4756,4663,277,253,302,412,974,1004,740,701,93,27155
"De 12 a 14 años (011)",19,19,18,1,,,,,,,,1
"De 15 a 19 años (012)",54,51,25,17,5,2,2,,,,3,41
"De 20 a 24 años (013)",122,107,14,27,29,26,10,1,,,15,212
"De 25 a 29 años (014)",188,178,12,17,29,41,64,12,3,,10,577
"De 30 a 34 años (015)",271,262,6,12,24,48,101,55,14,2,9,1144
"De 35 a 39 años (016)",378,367,14,18,27,34,101,113,39,21,11,1908
"De 40 a 44 años (017)",449,442,16,14,16,30,79,116,105,66,7,2862
"De 45 a 49 años (018)",495,489,10,20,27,26,92,120,95,99,6,3259
"De 50 y más años (019)",2780,2748,162,127,145,205,525,587,484,513,32,17151
"Educacion Inicial (020)",37,35,9,5,5,5,8,3,,,2,82
"De 12 a 14 años (021)",5,5,5,,,,,,,,,
"De 15 a 19 años (022)",5,5,4,1,,,,,,,,1
