"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PUNO (000)",92832,23992,8273,41957,1096,16514,1000
"Agric., ganadería, caza y silvicultura (001)",33624,61,1832,17321,106,14304,
"Pesca (002)",766,16,262,321,2,165,
"Explotación de minas y canteras (003)",501,63,345,80,8,5,
"Industrias manufactureras (004)",7638,166,1110,5796,178,388,
"Suministro de electricidad, gas y agua (005)",228,149,69,9,1,,
"Construcción (006)",4686,240,2999,1327,71,49,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",11581,1240,231,8822,257,1031,
"Venta, mant.y rep. veh.autom y motoc. (008)",860,110,162,514,31,43,
"Comercio al por mayor (009)",425,116,23,234,19,33,
"Comercio al por menor (010)",10296,1014,46,8074,207,955,
"Hoteles y restaurantes (011)",3384,1314,156,1537,172,205,
"Trans., almac. y comunicaciones (012)",6162,1806,523,3595,156,82,
"Intermediación financiera (013)",486,456,7,20,3,,
"Activid.inmobil., empres. y alquileres (014)",2967,1823,88,939,72,45,
"Admin.pub. y defensa; p. segur soc.afil (015)",5800,5377,423,,,,
"Enseñanza (016)",8218,7857,18,329,4,10,
"Servicios sociales y de salud (017)",2388,2100,20,253,10,5,
"Otras activ. serv.comun.soc y personales (018)",1963,862,62,980,31,28,
"Hogares privados con servicio doméstico (019)",1000,,,,,,1000
"Organiz. y organos extraterritoriales (020)",10,10,,,,,
"Actividad economica no especificada (021)",1430,452,128,628,25,197,
"Hombres (022)",51930,14333,6698,24578,709,5552,60
"Agric., ganadería, caza y silvicultura (023)",18670,55,1110,12666,64,4775,
"Pesca (024)",566,13,150,274,2,127,
"Explotación de minas y canteras (025)",480,57,337,74,8,4,
"Industrias manufactureras (026)",3134,110,749,2022,124,129,
"Suministro de electricidad, gas y agua (027)",190,114,68,8,,,
"Construcción (028)",4582,214,2946,1310,67,45,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3951,521,218,2827,134,251,
"Venta, mant.y rep. veh.autom y motoc. (030)",756,83,158,461,26,28,
"Comercio al por mayor (031)",210,68,18,105,12,7,
"Comercio al por menor (032)",2985,370,42,2261,96,216,
"Hoteles y restaurantes (033)",1231,658,93,321,84,75,
"Trans., almac. y comunicaciones (034)",5256,1309,459,3305,121,62,
"Intermediación financiera (035)",272,253,6,11,2,,
"Activid.inmobil., empres. y alquileres (036)",2139,1252,76,733,57,21,
"Admin.pub. y defensa; p. segur soc.afil (037)",4308,3981,327,,,,
"Enseñanza (038)",4508,4322,18,160,3,5,
"Servicios sociales y de salud (039)",934,746,17,164,7,,
"Otras activ. serv.comun.soc y personales (040)",1003,475,35,450,27,16,
"Hogares privados con servicio doméstico (041)",60,,,,,,60
"Organiz. y organos extraterritoriales (042)",6,6,,,,,
"Actividad economica no especificada (043)",640,247,89,253,9,42,
"Mujeres (044)",40902,9659,1575,17379,387,10962,940
"Agric., ganadería, caza y silvicultura (045)",14954,6,722,4655,42,9529,
"Pesca (046)",200,3,112,47,,38,
"Explotación de minas y canteras (047)",21,6,8,6,,1,
"Industrias manufactureras (048)",4504,56,361,3774,54,259,
"Suministro de electricidad, gas y agua (049)",38,35,1,1,1,,
"Construcción (050)",104,26,53,17,4,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",7630,719,13,5995,123,780,
"Venta, mant.y rep. veh.autom y motoc. (052)",104,27,4,53,5,15,
"Comercio al por mayor (053)",215,48,5,129,7,26,
"Comercio al por menor (054)",7311,644,4,5813,111,739,
"Hoteles y restaurantes (055)",2153,656,63,1216,88,130,
"Trans., almac. y comunicaciones (056)",906,497,64,290,35,20,
"Intermediación financiera (057)",214,203,1,9,1,,
"Activid.inmobil., empres. y alquileres (058)",828,571,12,206,15,24,
"Admin.pub. y defensa; p. segur soc.afil (059)",1492,1396,96,,,,
"Enseñanza (060)",3710,3535,,169,1,5,
"Servicios sociales y de salud (061)",1454,1354,3,89,3,5,
"Otras activ. serv.comun.soc y personales (062)",960,387,27,530,4,12,
"Hogares privados con servicio doméstico (063)",940,,,,,,940
"Organiz. y organos extraterritoriales (064)",4,4,,,,,
"Actividad economica no especificada (065)",790,205,39,375,16,155,
,,,,,,,
"URBANA (066)",53359,22686,5033,20733,916,3105,886
"Agric., ganadería, caza y silvicultura (067)",3757,55,419,1688,35,1560,
"Pesca (068)",88,13,35,35,,5,
"Explotación de minas y canteras (069)",255,58,149,40,7,1,
"Industrias manufactureras (070)",4359,163,876,2989,163,168,
"Suministro de electricidad, gas y agua (071)",219,146,64,8,1,,
"Construcción (072)",3497,237,2186,1001,48,25,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",10458,1211,193,7900,241,913,
"Venta, mant.y rep. veh.autom y motoc. (074)",757,110,128,452,27,40,
"Comercio al por mayor (075)",369,113,23,192,17,24,
"Comercio al por menor (076)",9332,988,42,7256,197,849,
"Hoteles y restaurantes (077)",3160,1229,132,1451,158,190,
"Trans., almac. y comunicaciones (078)",5325,1725,428,2980,124,68,
"Intermediación financiera (079)",483,454,6,20,3,,
"Activid.inmobil., empres. y alquileres (080)",2835,1739,75,908,70,43,
"Admin.pub. y defensa; p. segur soc.afil (081)",5225,4943,282,,,,
"Enseñanza (082)",7729,7422,10,284,3,10,
"Servicios sociales y de salud (083)",2295,2031,19,231,10,4,
"Otras activ. serv.comun.soc y personales (084)",1779,829,52,845,31,22,
"Hogares privados con servicio doméstico (085)",886,,,,,,886
"Organiz. y organos extraterritoriales (086)",10,10,,,,,
"Actividad economica no especificada (087)",999,421,107,353,22,96,
"Hombres (088)",29910,13338,4259,10468,580,1216,49
"Agric., ganadería, caza y silvicultura (089)",2194,50,263,1156,25,700,
"Pesca (090)",55,10,16,25,,4,
"Explotación de minas y canteras (091)",242,53,144,38,7,,
"Industrias manufactureras (092)",2203,108,589,1310,118,78,
"Suministro de electricidad, gas y agua (093)",181,111,63,7,,,
"Construcción (094)",3412,211,2148,987,44,22,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",3493,507,181,2455,122,228,
"Venta, mant.y rep. veh.autom y motoc. (096)",661,83,125,403,24,26,
"Comercio al por mayor (097)",179,66,18,78,10,7,
"Comercio al por menor (098)",2653,358,38,1974,88,195,
"Hoteles y restaurantes (099)",1148,623,81,299,74,71,
"Trans., almac. y comunicaciones (100)",4453,1235,369,2707,89,53,
"Intermediación financiera (101)",269,251,5,11,2,,
"Activid.inmobil., empres. y alquileres (102)",2025,1182,64,705,55,19,
"Admin.pub. y defensa; p. segur soc.afil (103)",3838,3630,208,,,,
"Enseñanza (104)",4126,3974,10,134,3,5,
"Servicios sociales y de salud (105)",880,711,16,146,7,,
"Otras activ. serv.comun.soc y personales (106)",858,448,26,345,27,12,
"Hogares privados con servicio doméstico (107)",49,,,,,,49
"Organiz. y organos extraterritoriales (108)",6,6,,,,,
"Actividad economica no especificada (109)",478,228,76,143,7,24,
