"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CANCHIS (000)",91638,4470,11646,13020,10075,13532,12245,19575,7075
"Sabe leer y escribir (001)",74418,,9258,12942,9974,13072,11336,14982,2854
"No sabe leer y escribir (002)",17220,4470,2388,78,101,460,909,4593,4221
"Hombres (004)",44327,2281,5924,6670,5132,6329,5654,9354,2983
"Sabe leer y escribir (005)",38887,,4721,6637,5099,6237,5507,8628,2058
"No sabe leer y escribir (006)",5440,2281,1203,33,33,92,147,726,925
"Mujeres (008)",47311,2189,5722,6350,4943,7203,6591,10221,4092
"Sabe leer y escribir (009)",35531,,4537,6305,4875,6835,5829,6354,796
"No sabe leer y escribir (010)",11780,2189,1185,45,68,368,762,3867,3296
,,,,,,,,,
"URBANA (012)",55187,2583,7097,7801,6412,9026,7957,11223,3088
"Sabe leer y escribir (013)",47851,,5807,7766,6378,8906,7638,9694,1662
"No sabe leer y escribir (014)",7336,2583,1290,35,34,120,319,1529,1426
"Hombres (016)",26784,1309,3576,4068,3251,4216,3648,5431,1285
"Sabe leer y escribir (017)",24327,,2930,4052,3237,4198,3599,5255,1056
"No sabe leer y escribir (018)",2457,1309,646,16,14,18,49,176,229
"Mujeres (020)",28403,1274,3521,3733,3161,4810,4309,5792,1803
"Sabe leer y escribir (021)",23524,,2877,3714,3141,4708,4039,4439,606
"No sabe leer y escribir (022)",4879,1274,644,19,20,102,270,1353,1197
,,,,,,,,,
"RURAL (024)",36451,1887,4549,5219,3663,4506,4288,8352,3987
"Sabe leer y escribir (025)",26567,,3451,5176,3596,4166,3698,5288,1192
"No sabe leer y escribir (026)",9884,1887,1098,43,67,340,590,3064,2795
"Hombres (028)",17543,972,2348,2602,1881,2113,2006,3923,1698
"Sabe leer y escribir (029)",14560,,1791,2585,1862,2039,1908,3373,1002
"No sabe leer y escribir (030)",2983,972,557,17,19,74,98,550,696
"Mujeres (032)",18908,915,2201,2617,1782,2393,2282,4429,2289
"Sabe leer y escribir (033)",12007,,1660,2591,1734,2127,1790,1915,190
"No sabe leer y escribir (034)",6901,915,541,26,48,266,492,2514,2099
