"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",17816,17168,5868,2607,2456,1784,2240,1238,650,325,648,39769
"De 12 a 14 años (001)",1546,1537,1529,6,2,,,,,,9,10
"De 15 a 19 años (002)",2464,2417,2152,229,30,4,2,,,,47,309
"De 20 a 24 años (003)",2993,2763,1188,1009,431,108,22,5,,,230,2319
"De 25 a 29 años (004)",2369,2187,391,622,697,317,148,11,1,,182,3669
"De 30 a 34 años (005)",1836,1760,171,276,514,394,348,46,8,3,76,4388
"De 35 a 39 años (006)",1638,1597,112,161,314,369,449,160,28,4,41,5152
"De 40 a 44 años (007)",1207,1185,80,82,160,185,373,202,80,23,22,4821
"De 45 a 49 años (008)",936,931,50,56,94,132,240,195,119,45,5,4445
"De 50 y más años (009)",2827,2791,195,166,214,275,658,619,414,250,36,14656
"Sin nivel (010)",2837,2797,298,191,236,279,621,565,382,225,40,13646
"De 12 a 14 años (011)",23,23,22,,1,,,,,,,2
"De 15 a 19 años (012)",33,32,28,4,,,,,,,1,4
"De 20 a 24 años (013)",71,68,32,17,10,6,2,1,,,3,69
"De 25 a 29 años (014)",68,66,19,11,14,11,9,2,,,2,127
"De 30 a 34 años (015)",95,87,11,13,14,15,27,5,1,1,8,263
"De 35 a 39 años (016)",125,122,9,12,11,24,41,22,2,1,3,453
"De 40 a 44 años (017)",202,198,22,10,20,21,52,46,21,6,4,877
"De 45 a 49 años (018)",211,210,13,15,13,21,46,42,43,17,1,1114
"De 50 y más años (019)",2009,1991,142,109,153,181,444,447,315,200,18,10737
"Educacion Inicial (020)",42,41,16,5,7,6,6,1,,,1,68
"De 12 a 14 años (021)",4,4,4,,,,,,,,,
"De 15 a 19 años (022)",4,3,3,,,,,,,,1,
