"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CANCHIS (000)",96937,95819,806,312
"Hombres (001)",47071,46585,313,173
"Mujeres (002)",49866,49234,493,139
"Menores de 1 año (003)",1526,1250,180,96
"Hombres (004)",788,635,91,62
"Mujeres (005)",738,615,89,34
"De 1 a 5 años (006)",10310,9788,332,190
"Hombres (007)",5301,5030,165,106
"Mujeres (008)",5009,4758,167,84
"De 6 a 14 años (009)",22599,22571,21,7
"Hombres (010)",11530,11515,11,4
"Mujeres (011)",11069,11056,10,3
"De 15 a 29 años (012)",23607,23597,9,1
"Hombres (013)",11461,11459,2,
"Mujeres (014)",12146,12138,7,1
"De 30 a 44 años (015)",17844,17837,5,2
"Hombres (016)",8322,8319,3,
"Mujeres (017)",9522,9518,2,2
"De 45 a 64 años (018)",13976,13926,49,1
"Hombres (019)",6686,6680,6,
"Mujeres (020)",7290,7246,43,1
"De 65 a más años (021)",7075,6850,210,15
"Hombres (022)",2983,2947,35,1
"Mujeres (023)",4092,3903,175,14
,,,,
"URBANA (024)",58355,57749,434,172
"Hombres (025)",28410,28114,199,97
"Mujeres (026)",29945,29635,235,75
"Menores de 1 año (027)",934,770,114,50
"Hombres (028)",487,394,60,33
"Mujeres (029)",447,376,54,17
"De 1 a 5 años (030)",6107,5774,218,115
"Hombres (031)",3103,2924,117,62
"Mujeres (032)",3004,2850,101,53
"De 6 a 14 años (033)",13608,13599,7,2
"Hombres (034)",6989,6982,5,2
"Mujeres (035)",6619,6617,2,
"De 15 a 29 años (036)",15438,15435,3,
"Hombres (037)",7467,7466,1,
"Mujeres (038)",7971,7969,2,
"De 30 a 44 años (039)",11431,11429,1,1
"Hombres (040)",5323,5322,1,
"Mujeres (041)",6108,6107,,1
"De 45 a 64 años (042)",7749,7729,19,1
"Hombres (043)",3756,3752,4,
"Mujeres (044)",3993,3977,15,1
"De 65 a más años (045)",3088,3013,72,3
"Hombres (046)",1285,1274,11,
"Mujeres (047)",1803,1739,61,3
,,,,
"RURAL (048)",38582,38070,372,140
"Hombres (049)",18661,18471,114,76
"Mujeres (050)",19921,19599,258,64
"Menores de 1 año (051)",592,480,66,46
"Hombres (052)",301,241,31,29
"Mujeres (053)",291,239,35,17
"De 1 a 5 años (054)",4203,4014,114,75
"Hombres (055)",2198,2106,48,44
"Mujeres (056)",2005,1908,66,31
"De 6 a 14 años (057)",8991,8972,14,5
"Hombres (058)",4541,4533,6,2
"Mujeres (059)",4450,4439,8,3
"De 15 a 29 años (060)",8169,8162,6,1
"Hombres (061)",3994,3993,1,
"Mujeres (062)",4175,4169,5,1
"De 30 a 44 años (063)",6413,6408,4,1
"Hombres (064)",2999,2997,2,
"Mujeres (065)",3414,3411,2,1
"De 45 a 64 años (066)",6227,6197,30,
"Hombres (067)",2930,2928,2,
"Mujeres (068)",3297,3269,28,
"De 65 a más años (069)",3987,3837,138,12
"Hombres (070)",1698,1673,24,1
"Mujeres (071)",2289,2164,114,11
