"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAMANGA (000)",207769,10347,25633,27309,24017,40759,29539,38400,11765
"Sin nivel (001)",29661,10347,2123,140,232,834,1858,7828,6299
"Educación inicial (002)",6234,,5757,182,55,118,122,,
"Primaria (003)",69700,,17753,17991,3223,6997,8060,12365,3311
"Secundaria (004)",57825,,,8996,17553,14987,7961,7275,1053
"Superior no univ. incompleto (005)",7721,,,,995,4362,1412,866,86
"Superior no univ. completo (006)",9108,,,,,3248,3230,2327,303
"Superior univ. incompleto (007)",12526,,,,1959,7064,1671,1711,121
"Superior univ. completo (008)",14994,,,,,3149,5225,6028,592
"Hombres (010)",101044,5327,13090,13728,11798,19892,14056,18080,5073
"Sin nivel (011)",10089,5327,1075,61,94,206,342,1412,1572
"Educación inicial (012)",3122,,2932,86,11,42,51,,
"Primaria (013)",33279,,9083,9040,1348,2529,3183,6020,2076
"Secundaria (014)",31602,,,4541,8970,8342,4646,4409,694
"Superior no univ. incompleto (015)",3649,,,,419,1970,707,502,51
"Superior no univ. completo (016)",3881,,,,,1313,1333,1084,151
"Superior univ. incompleto (017)",7284,,,,956,4055,1092,1087,94
"Superior univ. completo (018)",8138,,,,,1435,2702,3566,435
"Mujeres (020)",106725,5020,12543,13581,12219,20867,15483,20320,6692
"Sin nivel (021)",19572,5020,1048,79,138,628,1516,6416,4727
"Educación inicial (022)",3112,,2825,96,44,76,71,,
"Primaria (023)",36421,,8670,8951,1875,4468,4877,6345,1235
"Secundaria (024)",26223,,,4455,8583,6645,3315,2866,359
"Superior no univ. incompleto (025)",4072,,,,576,2392,705,364,35
"Superior no univ. completo (026)",5227,,,,,1935,1897,1243,152
"Superior univ. incompleto (027)",5242,,,,1003,3009,579,624,27
"Superior univ. completo (028)",6856,,,,,1714,2523,2462,157
,,,,,,,,,
"URBANA (030)",152369,6883,17320,19246,18440,32106,22775,28124,7475
"Sin nivel (031)",15656,6883,1061,70,95,274,690,3478,3105
"Educación inicial (032)",4258,,4118,60,13,24,43,,
"Primaria (033)",42272,,12141,11716,1300,2924,4231,7621,2339
