"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ISLAY (000)",49848,1709,4373,4839,4531,8233,8125,13217,4821
"Sabe leer y escribir (001)",45703,,3567,4813,4504,8170,8018,12459,4172
"No sabe leer y escribir (002)",4145,1709,806,26,27,63,107,758,649
"Hombres (004)",25619,876,2174,2436,2327,4141,4126,6988,2551
"Sabe leer y escribir (005)",23960,,1770,2423,2311,4110,4106,6851,2389
"No sabe leer y escribir (006)",1659,876,404,13,16,31,20,137,162
"Mujeres (008)",24229,833,2199,2403,2204,4092,3999,6229,2270
"Sabe leer y escribir (009)",21743,,1797,2390,2193,4060,3912,5608,1783
"No sabe leer y escribir (010)",2486,833,402,13,11,32,87,621,487
,,,,,,,,,
"URBANA (012)",45187,1567,3993,4415,4122,7395,7302,11977,4416
"Sabe leer y escribir (013)",41450,,3254,4392,4099,7345,7211,11308,3841
"No sabe leer y escribir (014)",3737,1567,739,23,23,50,91,669,575
"Hombres (016)",22852,797,1984,2212,2095,3618,3611,6219,2316
"Sabe leer y escribir (017)",21359,,1612,2200,2082,3594,3595,6103,2173
"No sabe leer y escribir (018)",1493,797,372,12,13,24,16,116,143
"Mujeres (020)",22335,770,2009,2203,2027,3777,3691,5758,2100
"Sabe leer y escribir (021)",20091,,1642,2192,2017,3751,3616,5205,1668
"No sabe leer y escribir (022)",2244,770,367,11,10,26,75,553,432
,,,,,,,,,
"RURAL (024)",4661,142,380,424,409,838,823,1240,405
"Sabe leer y escribir (025)",4253,,313,421,405,825,807,1151,331
"No sabe leer y escribir (026)",408,142,67,3,4,13,16,89,74
"Hombres (028)",2767,79,190,224,232,523,515,769,235
"Sabe leer y escribir (029)",2601,,158,223,229,516,511,748,216
"No sabe leer y escribir (030)",166,79,32,1,3,7,4,21,19
"Mujeres (032)",1894,63,190,200,177,315,308,471,170
"Sabe leer y escribir (033)",1652,,155,198,176,309,296,403,115
"No sabe leer y escribir (034)",242,63,35,2,1,6,12,68,55
