"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AREQUIPA (000)",364137,669431,631134,,11503,94.3,1.7
"De 12 a 14 años (001)",23997,98,88,,2,89.8,2
"De 15 a 19 años (002)",44129,2864,2773,846,96.8,29.5,
"De 20 a 24 años (003)",44338,17242,16926,2573,98.2,14.9,
"De 25 a 29 años (004)",40599,37098,36460,3046,98.3,8.2,
"De 30 a 34 años (005)",37753,57901,56743,2794,98,4.8,
"De 35 a 39 años (006)",33824,69620,67961,1636,97.6,2.3,
"De 40 a 44 años (007)",29728,74190,71890,538,96.9,0.7,
"De 45 a 49 años (008)",25049,70936,68062,68,95.9,0.1,
"De 50 y más años (009)",84720,339482,310231,,91.4,,
"Conviviente (010)",66039,139796,134519,5924,96.2,4.2,
"De 12 a 14 años (011)",202,45,37,,82.2,,
"De 15 a 19 años (012)",3138,1768,1706,550,96.5,31.1,
"De 20 a 24 años (013)",11213,11133,10909,1719,98,15.4,
"De 25 a 29 años (014)",13768,20308,19928,1644,98.1,8.1,
"De 30 a 34 años (015)",12346,25117,24563,1197,97.8,4.8,
"De 35 a 39 años (016)",9225,23494,22880,609,97.4,2.6,
"De 40 a 44 años (017)",6258,18925,18283,183,96.6,1,
"De 45 a 49 años (018)",3806,13177,12534,22,95.1,0.2,
"De 50 y más años (019)",6083,25829,23679,,91.7,,
"Separado(a) (020)",16445,45520,43180,409,94.9,0.9,
"De 12 a 14 años (021)",17,3,3,,100,,
"De 15 a 19 años (022)",196,124,124,36,100,29,
"De 20 a 24 años (023)",785,881,868,96,98.5,10.9,
"De 25 a 29 años (024)",1403,2029,1995,106,98.3,5.2,
"De 30 a 34 años (025)",2028,3730,3647,87,97.8,2.3,
"De 35 a 39 años (026)",2381,5145,5016,56,97.5,1.1,
"De 40 a 44 años (027)",2267,6219,5992,24,96.3,0.4,
"De 45 a 49 años (028)",2074,6372,6119,4,96,0.1,
"De 50 y más años (029)",5294,21017,19416,,92.4,,
"Casado(a) (030)",115000,351596,333409,4025,94.8,1.1,
"De 12 a 14 años (031)",25,11,11,,100,,
"De 15 a 19 años (032)",331,254,243,44,95.7,17.3,
"De 20 a 24 años (033)",2698,2705,2658,416,98.3,15.4,
"De 25 a 29 años (034)",7902,10701,10543,1029,98.5,9.6,
