"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CELENDIN (000)",23527,54,1780,304,300,1480,9933,1365,1119,6387,29,776
"Agric., ganadería, caza y silvicultura (001)",14506,,5,9,,,9933,1,3,4555,,
"Explotación de minas y canteras (003)",41,,1,1,3,,,14,1,21,,
"Industrias manufactureras (004)",1508,1,3,8,2,6,,1191,294,3,,
"Suministro de electricidad, gas y agua (005)",19,,1,1,5,,,8,1,3,,
"Construcción (006)",772,,23,14,3,,,19,385,328,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1589,1,12,60,3,1143,,123,7,240,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",112,,1,2,,13,,90,5,1,,
"Comercio al por mayor (009)",57,1,1,7,1,45,,,1,1,,
"Comercio al por menor (010)",1420,,10,51,2,1085,,33,1,238,,
"Hoteles y restaurantes (011)",393,2,,13,3,290,,1,,84,,
"Trans., almac. y comunicaciones (012)",508,,1,13,23,,,1,405,65,,
"Intermediación financiera (013)",17,2,1,2,11,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",137,,40,24,35,8,,1,2,27,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",369,37,27,22,121,8,,5,14,106,29,
"Enseñanza (016)",1608,11,1568,3,22,,,,1,3,,
"Servicios sociales y de salud (017)",169,,77,78,6,3,,1,2,2,,
"Otras activ. serv.comun.soc y personales (018)",357,,11,50,14,22,,,4,256,,
"Hogares privados con servicio doméstico (019)",693,,,1,,,,,,692,,
"Actividad economica no especificada (021)",841,,10,5,49,,,,,1,,776
"Hombres (022)",17894,45,889,202,157,545,9586,561,827,4751,28,303
"Agric., ganadería, caza y silvicultura (023)",13538,,5,9,,,9586,1,3,3934,,
"Explotación de minas y canteras (025)",40,,1,1,2,,,14,1,21,,
"Industrias manufactureras (026)",419,1,2,3,2,2,,394,13,2,,
"Suministro de electricidad, gas y agua (027)",15,,1,1,2,,,8,1,2,,
"Construcción (028)",765,,22,13,3,,,19,384,324,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",760,,5,28,,475,,117,7,128,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",103,,1,2,,9,,85,5,1,,
"Comercio al por mayor (031)",36,,1,3,,30,,,1,1,,
"Comercio al por menor (032)",621,,3,23,,436,,32,1,126,,
"Hoteles y restaurantes (033)",72,1,,8,3,40,,1,,19,,
"Trans., almac. y comunicaciones (034)",471,,1,10,13,,,1,398,48,,
"Intermediación financiera (035)",15,2,1,2,9,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",89,,30,20,15,8,,1,1,14,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",284,35,21,18,74,7,,4,12,85,28,
"Enseñanza (038)",770,6,752,2,6,,,,1,3,,
"Servicios sociales y de salud (039)",74,,33,36,,1,,1,2,1,,
"Otras activ. serv.comun.soc y personales (040)",217,,6,46,6,12,,,4,143,,
"Hogares privados con servicio doméstico (041)",26,,,,,,,,,26,,
"Actividad economica no especificada (043)",339,,9,5,22,,,,,,,303
"Mujeres (044)",5633,9,891,102,143,935,347,804,292,1636,1,473
"Agric., ganadería, caza y silvicultura (045)",968,,,,,,347,,,621,,
"Explotación de minas y canteras (047)",1,,,,1,,,,,,,
"Industrias manufactureras (048)",1089,,1,5,,4,,797,281,1,,
"Suministro de electricidad, gas y agua (049)",4,,,,3,,,,,1,,
"Construcción (050)",7,,1,1,,,,,1,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",829,1,7,32,3,668,,6,,112,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",9,,,,,4,,5,,,,
"Comercio al por mayor (053)",21,1,,4,1,15,,,,,,
"Comercio al por menor (054)",799,,7,28,2,649,,1,,112,,
"Hoteles y restaurantes (055)",321,1,,5,,250,,,,65,,
"Trans., almac. y comunicaciones (056)",37,,,3,10,,,,7,17,,
"Intermediación financiera (057)",2,,,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",48,,10,4,20,,,,1,13,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",85,2,6,4,47,1,,1,2,21,1,
"Enseñanza (060)",838,5,816,1,16,,,,,,,
"Servicios sociales y de salud (061)",95,,44,42,6,2,,,,1,,
"Otras activ. serv.comun.soc y personales (062)",140,,5,4,8,10,,,,113,,
"Hogares privados con servicio doméstico (063)",667,,,1,,,,,,666,,
"Actividad economica no especificada (065)",502,,1,,27,,,,,1,,473
,,,,,,,,,,,,
"URBANA (066)",7112,40,1494,249,272,1152,886,668,702,1409,28,212
"Agric., ganadería, caza y silvicultura (067)",1313,,4,4,,,886,,1,418,,
"Explotación de minas y canteras (069)",14,,1,1,3,,,5,1,3,,
"Industrias manufactureras (070)",598,1,2,8,2,4,,520,60,1,,
"Suministro de electricidad, gas y agua (071)",12,,1,,5,,,4,,2,,
"Construcción (072)",474,,23,13,2,,,17,273,146,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1320,1,12,51,3,952,,113,6,182,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",101,,1,1,,12,,82,5,,,
"Comercio al por mayor (075)",45,1,1,7,1,33,,,1,1,,
"Comercio al por menor (076)",1174,,10,43,2,907,,31,,181,,
"Hoteles y restaurantes (077)",231,2,,13,2,155,,1,,58,,
"Trans., almac. y comunicaciones (078)",424,,,12,21,,,1,342,48,,
"Intermediación financiera (079)",16,2,1,1,11,,,,,1,,
"Activid.inmobil., empres. y alquileres (080)",127,,38,24,32,8,,1,1,23,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",286,25,26,18,106,8,,5,11,59,28,
"Enseñanza (082)",1339,9,1305,2,20,,,,1,2,,
"Servicios sociales y de salud (083)",130,,61,55,6,3,,1,2,2,,
"Otras activ. serv.comun.soc y personales (084)",240,,11,41,11,22,,,4,151,,
"Hogares privados con servicio doméstico (085)",313,,,1,,,,,,312,,
"Actividad economica no especificada (087)",275,,9,5,48,,,,,1,,212
"Hombres (088)",4303,32,733,165,136,438,837,417,637,786,27,95
"Agric., ganadería, caza y silvicultura (089)",1218,,4,4,,,837,,1,372,,
"Explotación de minas y canteras (091)",13,,1,1,2,,,5,1,3,,
"Industrias manufactureras (092)",291,1,1,3,2,2,,276,5,1,,
"Suministro de electricidad, gas y agua (093)",9,,1,,2,,,4,,2,,
"Construcción (094)",467,,22,12,2,,,17,272,142,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",604,,5,25,,376,,107,6,85,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",92,,1,1,,8,,77,5,,,
"Comercio al por mayor (097)",26,,1,3,,20,,,1,1,,
"Comercio al por menor (098)",486,,3,21,,348,,30,,84,,
"Hoteles y restaurantes (099)",56,1,,8,2,32,,1,,12,,
"Trans., almac. y comunicaciones (100)",391,,,9,12,,,1,336,33,,
"Intermediación financiera (101)",14,2,1,1,9,,,,,1,,
"Activid.inmobil., empres. y alquileres (102)",81,,29,20,12,8,,1,,11,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",210,23,20,15,61,7,,4,9,44,27,
"Enseñanza (104)",620,5,606,1,5,,,,1,2,,
"Servicios sociales y de salud (105)",58,,29,24,,1,,1,2,1,,
"Otras activ. serv.comun.soc y personales (106)",133,,6,37,5,12,,,4,69,,
"Hogares privados con servicio doméstico (107)",8,,,,,,,,,8,,
"Actividad economica no especificada (109)",130,,8,5,22,,,,,,,95
"Mujeres (110)",2809,8,761,84,136,714,49,251,65,623,1,117
"Agric., ganadería, caza y silvicultura (111)",95,,,,,,49,,,46,,
"Explotación de minas y canteras (113)",1,,,,1,,,,,,,
"Industrias manufactureras (114)",307,,1,5,,2,,244,55,,,
"Suministro de electricidad, gas y agua (115)",3,,,,3,,,,,,,
"Construcción (116)",7,,1,1,,,,,1,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",716,1,7,26,3,576,,6,,97,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",9,,,,,4,,5,,,,
"Comercio al por mayor (119)",19,1,,4,1,13,,,,,,
"Comercio al por menor (120)",688,,7,22,2,559,,1,,97,,
"Hoteles y restaurantes (121)",175,1,,5,,123,,,,46,,
"Trans., almac. y comunicaciones (122)",33,,,3,9,,,,6,15,,
"Intermediación financiera (123)",2,,,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",46,,9,4,20,,,,1,12,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",76,2,6,3,45,1,,1,2,15,1,
"Enseñanza (126)",719,4,699,1,15,,,,,,,
"Servicios sociales y de salud (127)",72,,32,31,6,2,,,,1,,
"Otras activ. serv.comun.soc y personales (128)",107,,5,4,6,10,,,,82,,
"Hogares privados con servicio doméstico (129)",305,,,1,,,,,,304,,
"Actividad economica no especificada (131)",145,,1,,26,,,,,1,,117
,,,,,,,,,,,,
"RURAL (132)",16415,14,286,55,28,328,9047,697,417,4978,1,564
"Agric., ganadería, caza y silvicultura (133)",13193,,1,5,,,9047,1,2,4137,,
"Explotación de minas y canteras (135)",27,,,,,,,9,,18,,
"Industrias manufactureras (136)",910,,1,,,2,,671,234,2,,
