"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUALLAGA (000)",6212,6059,21,1190,1359,1046,1255,659,364,165,153,21672
"De 12 a 14 años (001)",24,8,,8,,,,,,,16,8
"De 15 a 19 años (002)",314,284,4,232,44,4,,,,,30,332
"De 20 a 24 años (003)",761,721,4,397,243,61,16,,,,40,1133
"De 25 a 29 años (004)",786,759,3,222,293,142,94,5,,,27,1664
"De 30 a 34 años (005)",776,766,3,112,244,207,162,35,3,,10,2159
"De 35 a 39 años (006)",756,751,2,75,197,187,199,70,20,1,5,2538
"De 40 a 44 años (007)",652,644,,45,137,142,187,97,28,8,8,2517
"De 45 a 49 años (008)",547,541,1,29,92,117,161,84,43,14,6,2325
"De 50 y más años (009)",1596,1585,4,70,109,186,436,368,270,142,11,8996
"Sin nivel (010)",613,598,4,37,47,58,163,135,87,67,15,3399
"De 12 a 14 años (011)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (012)",9,8,,6,2,,,,,,1,10
"De 20 a 24 años (013)",28,28,,9,11,6,2,,,,,57
"De 25 a 29 años (014)",33,31,1,10,4,4,12,,,,2,84
"De 30 a 34 años (015)",38,36,,2,2,10,18,4,,,2,140
"De 35 a 39 años (016)",61,60,,3,8,10,20,15,4,,1,274
"De 40 a 44 años (017)",64,63,,,4,5,26,19,6,3,1,352
"De 45 a 49 años (018)",70,67,1,,2,8,18,20,11,7,3,409
"De 50 y más años (019)",308,304,2,6,14,15,67,77,66,57,4,2072
"Educacion Inicial (020)",9,8,,2,2,1,3,,,,1,23
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",1,1,,,,1,,,,,,3
"De 25 a 29 años (024)",2,2,,1,1,,,,,,,3
