"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AREQUIPA (000)",340701,212465,36516,37037,54683
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",1065,107,282,318,358
"Profes., científicos e intelectuales (002)",48861,13655,6925,12277,16004
"Técnicos de nivel medio y trab. asimilados (003)",28364,13843,3443,4093,6985
"Jefes y empleados de oficina (004)",20518,5131,2646,4140,8601
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",60778,51362,4413,2922,2081
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10516,8804,1511,150,51
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",40662,26770,4609,3552,5731
"Obreros construc.,conf.,papel, fab., instr. (008)",42350,31352,3685,3249,4064
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",75938,56573,8354,5784,5227
"Otra (010)",4767,,,,4767
"Ocupación no especificada (011)",6882,4868,648,552,814
"Hombres (012)",196330,119034,21730,21370,34196
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",679,72,147,216,244
"Profes., científicos e intelectuales (014)",24242,7633,3077,5281,8251
"Técnicos de nivel medio y trab. asimilados (015)",16602,8375,2007,2496,3724
"Jefes y empleados de oficina (016)",9182,1833,1062,1972,4315
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",23098,17516,2228,1772,1582
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7638,6596,901,108,33
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",31232,21063,3585,2659,3925
"Obreros construc.,conf.,papel, fab., instr. (020)",40389,29932,3484,3105,3868
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",35514,23774,4875,3440,3425
"Otra (022)",4328,,,,4328
"Ocupación no especificada (023)",3426,2240,364,321,501
"Mujeres (024)",144371,93431,14786,15667,20487
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",386,35,135,102,114
"Profes., científicos e intelectuales (026)",24619,6022,3848,6996,7753
"Técnicos de nivel medio y trab. asimilados (027)",11762,5468,1436,1597,3261
"Jefes y empleados de oficina (028)",11336,3298,1584,2168,4286
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",37680,33846,2185,1150,499
"Agricult.trabaj.calif.agrop.y pesqueros (030)",2878,2208,610,42,18
