"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia REQUENA (000)",20286,66784,59716,,1943,89.4,2.9
"De 12 a 14 años (001)",2656,40,40,,6,100,15
"De 15 a 19 años (002)",3476,1484,1432,382,96.5,25.7,
"De 20 a 24 años (003)",2627,4179,4016,490,96.1,11.7,
"De 25 a 29 años (004)",2233,5849,5624,420,96.2,7.2,
"De 30 a 34 años (005)",1891,6930,6551,341,94.5,4.9,
"De 35 a 39 años (006)",1772,8561,7965,208,93,2.4,
"De 40 a 44 años (007)",1365,7806,7141,74,91.5,0.9,
"De 45 a 49 años (008)",1135,7580,6685,22,88.2,0.3,
"De 50 y más años (009)",3131,24355,20262,,83.2,,
"Sin nivel (010)",930,6533,5175,38,79.2,0.6,
"De 12 a 14 años (011)",28,2,2,,100,,
"De 15 a 19 años (012)",36,21,21,5,100,23.8,
"De 20 a 24 años (013)",37,47,43,6,91.5,12.8,
"De 25 a 29 años (014)",44,142,129,9,90.8,6.3,
"De 30 a 34 años (015)",35,196,173,8,88.3,4.1,
"De 35 a 39 años (016)",60,418,370,6,88.5,1.4,
"De 40 a 44 años (017)",40,278,236,2,84.9,0.7,
"De 45 a 49 años (018)",42,340,292,2,85.9,0.6,
"De 50 y más años (019)",608,5089,3909,,76.8,,
"Educacion Inicial (020)",15,43,41,4,95.3,9.3,
"De 12 a 14 años (021)",1,,,,,,
"De 15 a 19 años (022)",4,6,6,1,100,16.7,
"De 20 a 24 años (023)",5,16,16,1,100,6.3,
"De 25 a 29 años (024)",1,2,2,,100,,
"De 30 a 34 años (025)",4,19,17,2,89.5,10.5,
"Primaria (030)",10285,43982,39068,1041,88.8,2.4,
"De 12 a 14 años (031)",1617,21,21,3,100,14.3,
"De 15 a 19 años (032)",1056,705,675,175,95.7,24.8,
"De 20 a 24 años (033)",965,2078,1975,234,95,11.3,
"De 25 a 29 años (034)",974,3220,3074,213,95.5,6.6,
"De 30 a 34 años (035)",909,4049,3802,197,93.9,4.9,
"De 35 a 39 años (036)",967,5443,5017,143,92.2,2.6,
"De 40 a 44 años (037)",864,5642,5131,57,90.9,1,
"De 45 a 49 años (038)",773,5671,4919,19,86.7,0.3,
"De 50 y más años (039)",2160,17153,14454,,84.3,,
"Secundaria (040)",7653,13573,12891,778,95,5.7,
