"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SIHUAS (000)",8622,1247,1332,4176,63,1245,133,426
"Agric., ganadería, caza y silvicultura (001)",5323,15,695,3451,37,1125,,
"Explotación de minas y canteras (003)",26,2,18,4,1,1,,
"Industrias manufactureras (004)",148,4,45,90,2,7,,
"Suministro de electricidad, gas y agua (005)",13,3,8,,,2,,
"Construcción (006)",479,12,391,49,9,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",380,35,10,283,5,47,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",20,2,4,14,,,,
"Comercio al por mayor (009)",9,2,,7,,,,
"Comercio al por menor (010)",351,31,6,262,5,47,,
"Hoteles y restaurantes (011)",91,16,8,58,5,4,,
"Trans., almac. y comunicaciones (012)",111,34,41,32,2,2,,
"Intermediación financiera (013)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (014)",96,76,9,10,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",203,159,44,,,,,
"Enseñanza (016)",765,741,,22,,2,,
"Servicios sociales y de salud (017)",85,80,2,3,,,,
"Otras activ. serv.comun.soc y personales (018)",159,28,28,100,,3,,
"Hogares privados con servicio doméstico (019)",133,,,,,,133,
"Actividad economica no especificada (021)",182,40,33,74,1,34,,
"Desocupado (022)",426,,,,,,,426
"Hombres (023)",5960,726,1067,3215,49,554,5,344
"Agric., ganadería, caza y silvicultura (024)",3892,13,498,2855,27,499,,
"Explotación de minas y canteras (026)",26,2,18,4,1,1,,
"Industrias manufactureras (027)",125,2,39,78,1,5,,
"Suministro de electricidad, gas y agua (028)",13,3,8,,,2,,
"Construcción (029)",462,12,375,49,9,17,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",181,16,8,138,5,14,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",18,,4,14,,,,
"Comercio al por mayor (032)",5,2,,3,,,,
"Comercio al por menor (033)",158,14,4,121,5,14,,
"Hoteles y restaurantes (034)",16,2,,10,3,1,,
"Trans., almac. y comunicaciones (035)",100,27,38,32,2,1,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",59,42,8,8,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",161,120,41,,,,,
"Enseñanza (039)",428,421,,6,,1,,
"Servicios sociales y de salud (040)",34,31,,3,,,,
"Otras activ. serv.comun.soc y personales (041)",53,20,21,12,,,,
"Hogares privados con servicio doméstico (042)",5,,,,,,5,
"Actividad economica no especificada (044)",60,14,13,20,,13,,
"Desocupado (045)",344,,,,,,,344
"Mujeres (046)",2662,521,265,961,14,691,128,82
"Agric., ganadería, caza y silvicultura (047)",1431,2,197,596,10,626,,
"Industrias manufactureras (050)",23,2,6,12,1,2,,
"Construcción (052)",17,,16,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",199,19,2,145,,33,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",2,2,,,,,,
"Comercio al por mayor (055)",4,,,4,,,,
"Comercio al por menor (056)",193,17,2,141,,33,,
"Hoteles y restaurantes (057)",75,14,8,48,2,3,,
"Trans., almac. y comunicaciones (058)",11,7,3,,,1,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",37,34,1,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",42,39,3,,,,,
"Enseñanza (062)",337,320,,16,,1,,
"Servicios sociales y de salud (063)",51,49,2,,,,,
"Otras activ. serv.comun.soc y personales (064)",106,8,7,88,,3,,
"Hogares privados con servicio doméstico (065)",128,,,,,,128,
"Actividad economica no especificada (067)",122,26,20,54,1,21,,
,,,,,,,,
"URBANA (068)",2838,986,429,945,22,181,95,180
"Agric., ganadería, caza y silvicultura (069)",771,13,153,476,1,128,,
"Explotación de minas y canteras (071)",14,2,8,3,1,,,
"Industrias manufactureras (072)",91,3,29,52,2,5,,
"Suministro de electricidad, gas y agua (073)",4,3,1,,,,,
"Construcción (074)",210,12,154,35,6,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",286,25,9,217,4,31,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",19,2,4,13,,,,
"Comercio al por mayor (077)",7,2,,5,,,,
"Comercio al por menor (078)",260,21,5,199,4,31,,
"Hoteles y restaurantes (079)",69,8,3,50,5,3,,
"Trans., almac. y comunicaciones (080)",77,30,18,26,1,2,,
"Intermediación financiera (081)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (082)",88,70,7,10,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",134,111,23,,,,,
"Enseñanza (084)",601,587,,12,,2,,
"Servicios sociales y de salud (085)",74,70,1,3,,,,
"Otras activ. serv.comun.soc y personales (086)",71,21,12,37,,1,,
"Hogares privados con servicio doméstico (087)",95,,,,,,95,
"Actividad economica no especificada (089)",71,29,11,24,1,6,,
"Desocupado (090)",180,,,,,,,180
"Hombres (091)",1752,558,364,596,18,73,2,141
"Agric., ganadería, caza y silvicultura (092)",523,11,117,337,1,57,,
"Explotación de minas y canteras (094)",14,2,8,3,1,,,
"Industrias manufactureras (095)",75,1,25,45,1,3,,
"Suministro de electricidad, gas y agua (096)",4,3,1,,,,,
"Construcción (097)",203,12,148,35,6,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",131,10,7,103,4,7,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",17,,4,13,,,,
"Comercio al por mayor (100)",3,2,,1,,,,
"Comercio al por menor (101)",111,8,3,89,4,7,,
"Hoteles y restaurantes (102)",16,2,,10,3,1,,
"Trans., almac. y comunicaciones (103)",70,24,18,26,1,1,,
"Intermediación financiera (104)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (105)",51,36,6,8,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",101,81,20,,,,,
"Enseñanza (107)",323,320,,2,,1,,
"Servicios sociales y de salud (108)",31,28,,3,,,,
"Otras activ. serv.comun.soc y personales (109)",33,16,7,10,,,,
"Hogares privados con servicio doméstico (110)",2,,,,,,2,
"Actividad economica no especificada (112)",33,11,7,14,,1,,
"Desocupado (113)",141,,,,,,,141
"Mujeres (114)",1086,428,65,349,4,108,93,39
"Agric., ganadería, caza y silvicultura (115)",248,2,36,139,,71,,
"Industrias manufactureras (118)",16,2,4,7,1,2,,
"Construcción (120)",7,,6,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",155,15,2,114,,24,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",2,2,,,,,,
"Comercio al por mayor (123)",4,,,4,,,,
"Comercio al por menor (124)",149,13,2,110,,24,,
"Hoteles y restaurantes (125)",53,6,3,40,2,2,,
"Trans., almac. y comunicaciones (126)",7,6,,,,1,,
"Intermediación financiera (127)",1,1,,,,,,
